ds,sales,n_clients,imputed,weekday
2015-01-02 09:00:00,365.75,69.0,1,4
2015-01-02 10:00:00,365.75,69.0,-1,4
2015-01-02 11:00:00,513.9200000000001,92.0,-1,4
2015-01-02 12:00:00,696.36,141.0,-1,4
2015-01-02 13:00:00,722.56,170.0,-1,4
2015-01-02 14:00:00,582.81,137.0,-1,4
2015-01-02 15:00:00,474.56,74.0,-1,4
2015-01-02 16:00:00,273.69,46.0,-1,4
2015-01-02 17:00:00,358.0,53.0,-1,4
2015-01-02 18:00:00,508.88,79.0,-1,4
2015-01-02 19:00:00,462.42,96.0,-1,4
2015-01-02 20:00:00,883.52,104.0,-1,4
2015-01-02 21:00:00,227.55,39.0,-1,4
2015-01-03 09:00:00,659.8900000000001,72.0,1,5
2015-01-03 10:00:00,659.8900000000001,72.0,-1,5
2015-01-03 11:00:00,709.1800000000001,141.0,-1,5
2015-01-03 12:00:00,993.6800000000001,166.0,-1,5
2015-01-03 13:00:00,930.71,176.0,-1,5
2015-01-03 14:00:00,770.11,144.0,-1,5
2015-01-03 15:00:00,445.0,69.0,-1,5
2015-01-03 16:00:00,330.83,50.0,-1,5
2015-01-03 17:00:00,627.12,65.0,-1,5
2015-01-03 18:00:00,605.52,87.0,-1,5
2015-01-03 19:00:00,694.3399999999999,80.0,-1,5
2015-01-03 20:00:00,613.62,94.0,-1,5
2015-01-03 21:00:00,213.87,41.0,-1,5
2015-01-05 09:00:00,380.8,82.0,1,0
2015-01-05 10:00:00,380.8,82.0,-1,0
2015-01-05 11:00:00,538.82,139.0,-1,0
2015-01-05 12:00:00,942.9100000000001,201.0,-1,0
2015-01-05 13:00:00,979.97,201.0,-1,0
2015-01-05 14:00:00,879.8199999999999,177.0,-1,0
2015-01-05 15:00:00,1293.79,96.0,-1,0
2015-01-05 16:00:00,296.95,62.0,-1,0
2015-01-05 17:00:00,435.13,84.0,-1,0
2015-01-05 18:00:00,616.6800000000001,97.0,-1,0
2015-01-05 19:00:00,670.12,118.0,-1,0
2015-01-05 20:00:00,570.6300000000001,119.0,-1,0
2015-01-05 21:00:00,342.04,65.0,-1,0
2015-01-06 09:00:00,109.93,48.0,1,1
2015-01-06 10:00:00,109.93,48.0,-1,1
2015-01-06 11:00:00,197.99,69.0,-1,1
2015-01-06 12:00:00,151.28,78.0,-1,1
2015-01-06 13:00:00,113.66,63.0,-1,1
2015-01-06 14:00:00,57.45,26.0,-1,1
2015-01-06 15:00:00,47.28,20.25,1,1
2015-01-06 16:00:00,37.11,14.5,1,1
2015-01-06 17:00:00,26.939999999999998,8.75,1,1
2015-01-06 18:00:00,16.77,3.0,-1,1
2015-01-06 19:00:00,13.26,4.0,-1,1
2015-01-06 20:00:00,29.63,8.0,-1,1
2015-01-06 21:00:00,23.29,9.0,-1,1
2015-01-07 09:00:00,284.82000000000005,77.0,1,2
2015-01-07 10:00:00,284.82000000000005,77.0,-1,2
2015-01-07 11:00:00,841.98,128.0,-1,2
2015-01-07 12:00:00,654.8199999999999,159.0,-1,2
2015-01-07 13:00:00,949.1899999999999,192.0,-1,2
2015-01-07 14:00:00,682.45,143.0,-1,2
2015-01-07 15:00:00,539.1800000000001,73.0,-1,2
2015-01-07 16:00:00,281.55,42.0,-1,2
2015-01-07 17:00:00,313.89,63.0,-1,2
2015-01-07 18:00:00,496.3,88.0,-1,2
2015-01-07 19:00:00,518.37,90.0,-1,2
2015-01-07 20:00:00,714.02,119.0,-1,2
2015-01-07 21:00:00,227.58,39.0,-1,2
2015-01-08 09:00:00,398.16999999999996,87.0,1,3
2015-01-08 10:00:00,398.16999999999996,87.0,-1,3
2015-01-08 11:00:00,555.98,111.0,-1,3
2015-01-08 12:00:00,1031.94,149.0,-1,3
2015-01-08 13:00:00,670.36,163.0,-1,3
2015-01-08 14:00:00,585.79,125.0,-1,3
2015-01-08 15:00:00,266.77,68.0,-1,3
2015-01-08 16:00:00,181.5,37.0,-1,3
2015-01-08 17:00:00,247.17000000000002,48.0,-1,3
2015-01-08 18:00:00,359.48,58.0,-1,3
2015-01-08 19:00:00,701.8899999999999,121.0,-1,3
2015-01-08 20:00:00,736.9000000000001,136.0,-1,3
2015-01-08 21:00:00,177.22,32.0,-1,3
2015-01-09 09:00:00,482.69,98.0,1,4
2015-01-09 10:00:00,482.69,98.0,-1,4
2015-01-09 11:00:00,545.81,122.0,-1,4
2015-01-09 12:00:00,1157.68,166.0,-1,4
2015-01-09 13:00:00,766.26,168.0,-1,4
2015-01-09 14:00:00,483.17,115.0,-1,4
2015-01-09 15:00:00,303.6,66.0,-1,4
2015-01-09 16:00:00,154.73000000000002,44.0,-1,4
2015-01-09 17:00:00,450.55,56.0,-1,4
2015-01-09 18:00:00,576.98,89.0,-1,4
2015-01-09 19:00:00,851.9900000000001,116.0,-1,4
2015-01-09 20:00:00,851.81,114.0,-1,4
2015-01-09 21:00:00,250.47000000000003,46.0,-1,4
2015-01-10 09:00:00,659.5999999999999,100.0,1,5
2015-01-10 10:00:00,659.5999999999999,100.0,-1,5
2015-01-10 11:00:00,879.97,133.0,-1,5
2015-01-10 12:00:00,1065.48,179.0,-1,5
2015-01-10 13:00:00,1186.76,196.0,-1,5
2015-01-10 14:00:00,1057.72,153.0,-1,5
2015-01-10 15:00:00,782.43,93.0,-1,5
2015-01-10 16:00:00,308.39,43.0,-1,5
2015-01-10 17:00:00,291.6,52.0,-1,5
2015-01-10 18:00:00,433.06,82.0,-1,5
2015-01-10 19:00:00,836.53,122.0,-1,5
2015-01-10 20:00:00,667.92,117.0,-1,5
2015-01-10 21:00:00,239.24,40.0,-1,5
2015-01-12 09:00:00,566.63,94.0,1,0
2015-01-12 10:00:00,566.63,94.0,-1,0
2015-01-12 11:00:00,736.9200000000001,125.0,-1,0
2015-01-12 12:00:00,864.6700000000001,169.0,-1,0
2015-01-12 13:00:00,739.78,169.0,-1,0
2015-01-12 14:00:00,847.0699999999999,151.0,-1,0
2015-01-12 15:00:00,450.44,62.0,-1,0
2015-01-12 16:00:00,485.07000000000005,54.0,-1,0
2015-01-12 17:00:00,349.11,50.0,-1,0
2015-01-12 18:00:00,555.5,84.0,-1,0
2015-01-12 19:00:00,604.6800000000001,119.0,-1,0
2015-01-12 20:00:00,679.7,137.0,-1,0
2015-01-12 21:00:00,258.55,52.0,-1,0
2015-01-13 09:00:00,618.78,111.0,1,1
2015-01-13 10:00:00,618.78,111.0,-1,1
2015-01-13 11:00:00,590.45,138.0,-1,1
2015-01-13 12:00:00,701.1800000000001,137.0,-1,1
2015-01-13 13:00:00,805.53,157.0,-1,1
2015-01-13 14:00:00,920.29,113.0,-1,1
2015-01-13 15:00:00,308.26,62.0,-1,1
2015-01-13 16:00:00,180.3,31.0,-1,1
2015-01-13 17:00:00,335.30000000000007,56.0,-1,1
2015-01-13 18:00:00,622.03,79.0,-1,1
2015-01-13 19:00:00,697.78,108.0,-1,1
2015-01-13 20:00:00,495.35,80.0,-1,1
2015-01-13 21:00:00,259.49,42.0,-1,1
2015-01-14 09:00:00,1069.49,94.0,1,2
2015-01-14 10:00:00,1069.49,94.0,-1,2
2015-01-14 11:00:00,1138.8,148.0,-1,2
2015-01-14 12:00:00,1933.06,158.0,-1,2
2015-01-14 13:00:00,1773.85,195.0,-1,2
2015-01-14 14:00:00,1125.1299999999999,129.0,-1,2
2015-01-14 15:00:00,85.68,9.0,-1,2
2015-01-14 16:00:00,73.56666666666668,8.166666666666666,1,2
2015-01-14 17:00:00,61.45333333333333,7.333333333333333,1,2
2015-01-14 18:00:00,49.34,6.5,1,2
2015-01-14 19:00:00,37.22666666666667,5.666666666666666,1,2
2015-01-14 20:00:00,25.11333333333333,4.833333333333333,1,2
2015-01-14 21:00:00,13.0,4.0,-1,2
2015-01-15 09:00:00,467.67,81.0,1,3
2015-01-15 10:00:00,467.67,81.0,-1,3
2015-01-15 11:00:00,576.4100000000001,124.0,-1,3
2015-01-15 12:00:00,798.2,159.0,-1,3
2015-01-15 13:00:00,773.8299999999999,175.0,-1,3
2015-01-15 14:00:00,393.40999999999997,106.0,-1,3
2015-01-15 15:00:00,199.18,49.0,-1,3
2015-01-15 16:00:00,427.77,49.0,-1,3
2015-01-15 17:00:00,444.47,50.0,-1,3
2015-01-15 18:00:00,478.26,80.0,-1,3
2015-01-15 19:00:00,686.6400000000001,99.0,-1,3
2015-01-15 20:00:00,551.3,100.0,-1,3
2015-01-15 21:00:00,295.14,46.0,-1,3
2015-01-16 09:00:00,648.51,103.0,1,4
2015-01-16 10:00:00,648.51,103.0,-1,4
2015-01-16 11:00:00,631.6500000000001,146.0,-1,4
2015-01-16 12:00:00,683.23,153.0,-1,4
2015-01-16 13:00:00,756.1200000000001,160.0,-1,4
2015-01-16 14:00:00,491.2,119.0,-1,4
2015-01-16 15:00:00,370.15,65.0,-1,4
2015-01-16 16:00:00,383.13,41.0,-1,4
2015-01-16 17:00:00,242.16,51.0,-1,4
2015-01-16 18:00:00,436.85,58.0,-1,4
2015-01-16 19:00:00,661.47,110.0,-1,4
2015-01-16 20:00:00,1139.95,108.0,-1,4
2015-01-16 21:00:00,334.63,49.0,-1,4
2015-01-17 09:00:00,422.4,81.0,1,5
2015-01-17 10:00:00,422.4,81.0,-1,5
2015-01-17 11:00:00,1267.9299999999998,139.0,-1,5
2015-01-17 12:00:00,1134.58,193.0,-1,5
2015-01-17 13:00:00,1041.62,194.0,-1,5
2015-01-17 14:00:00,648.39,137.0,-1,5
2015-01-17 15:00:00,502.93,67.0,-1,5
2015-01-17 16:00:00,468.11,56.0,-1,5
2015-01-17 17:00:00,393.27,52.0,-1,5
2015-01-17 18:00:00,453.51,74.0,-1,5
2015-01-17 19:00:00,764.02,102.0,-1,5
2015-01-17 20:00:00,767.0699999999999,123.0,-1,5
2015-01-17 21:00:00,541.72,80.0,-1,5
2015-01-19 09:00:00,456.35,96.0,1,0
2015-01-19 10:00:00,456.35,96.0,-1,0
2015-01-19 11:00:00,591.27,127.0,-1,0
2015-01-19 12:00:00,9642.39,159.0,-1,0
2015-01-19 13:00:00,10105.77,180.0,-1,0
2015-01-19 14:00:00,9248.720000000001,111.0,-1,0
2015-01-19 15:00:00,4607.07,44.0,-1,0
2015-01-19 16:00:00,2080.13,51.0,-1,0
2015-01-19 17:00:00,1986.53,46.0,-1,0
2015-01-19 18:00:00,2282.38,88.0,-1,0
2015-01-19 19:00:00,7195.18,111.0,-1,0
2015-01-19 20:00:00,2144.63,103.0,-1,0
2015-01-19 21:00:00,1727.71,49.0,-1,0
2015-01-20 09:00:00,431.83,63.0,-1,1
2015-01-20 10:00:00,415.42,96.0,-1,1
2015-01-20 11:00:00,450.48,123.0,-1,1
2015-01-20 12:00:00,681.97,141.0,-1,1
2015-01-20 13:00:00,575.55,142.0,-1,1
2015-01-20 14:00:00,488.39,118.0,-1,1
2015-01-20 15:00:00,235.34000000000003,52.0,-1,1
2015-01-20 16:00:00,165.99,29.0,-1,1
2015-01-20 17:00:00,413.59000000000003,54.0,-1,1
2015-01-20 18:00:00,349.24,74.0,-1,1
2015-01-20 19:00:00,592.95,100.0,-1,1
2015-01-20 20:00:00,500.24,110.0,-1,1
2015-01-20 21:00:00,189.75,45.0,-1,1
2015-01-21 09:00:00,206.78,51.0,-1,2
2015-01-21 10:00:00,516.58,115.0,-1,2
2015-01-21 11:00:00,466.29999999999995,121.0,-1,2
2015-01-21 12:00:00,1098.91,163.0,-1,2
2015-01-21 13:00:00,573.14,140.0,-1,2
2015-01-21 14:00:00,345.64,89.0,-1,2
2015-01-21 15:00:00,233.99,46.0,-1,2
2015-01-21 16:00:00,190.44,25.0,-1,2
2015-01-21 17:00:00,454.04999999999995,55.0,-1,2
2015-01-21 18:00:00,397.75,67.0,-1,2
2015-01-21 19:00:00,407.55,85.0,-1,2
2015-01-21 20:00:00,482.65,97.0,-1,2
2015-01-21 21:00:00,234.79,37.0,-1,2
2015-01-22 09:00:00,206.84,64.0,-1,3
2015-01-22 10:00:00,466.63,99.0,-1,3
2015-01-22 11:00:00,543.1800000000001,126.0,-1,3
2015-01-22 12:00:00,554.0999999999999,142.0,-1,3
2015-01-22 13:00:00,852.53,155.0,-1,3
2015-01-22 14:00:00,379.03000000000003,113.0,-1,3
2015-01-22 15:00:00,249.07999999999998,60.0,-1,3
2015-01-22 16:00:00,174.67000000000002,36.0,-1,3
2015-01-22 17:00:00,348.99,53.0,-1,3
2015-01-22 18:00:00,414.5,74.0,-1,3
2015-01-22 19:00:00,551.13,112.0,-1,3
2015-01-22 20:00:00,512.84,85.0,-1,3
2015-01-22 21:00:00,155.65,37.0,-1,3
2015-01-23 09:00:00,257.14,63.0,-1,4
2015-01-23 10:00:00,483.92999999999995,98.0,-1,4
2015-01-23 11:00:00,620.99,147.0,-1,4
2015-01-23 12:00:00,720.62,156.0,-1,4
2015-01-23 13:00:00,641.76,138.0,-1,4
2015-01-23 14:00:00,535.98,141.0,-1,4
2015-01-23 15:00:00,398.68,74.0,-1,4
2015-01-23 16:00:00,248.68,42.0,-1,4
2015-01-23 17:00:00,295.03,59.0,-1,4
2015-01-23 18:00:00,489.31999999999994,80.0,-1,4
2015-01-23 19:00:00,476.07,73.0,-1,4
2015-01-23 20:00:00,634.13,101.0,-1,4
2015-01-23 21:00:00,280.90000000000003,45.0,-1,4
2015-01-24 09:00:00,271.72,47.0,-1,5
2015-01-24 10:00:00,694.97,109.0,-1,5
2015-01-24 11:00:00,609.1600000000001,140.0,-1,5
2015-01-24 12:00:00,1139.44,176.0,-1,5
2015-01-24 13:00:00,1109.66,184.0,-1,5
2015-01-24 14:00:00,937.63,153.0,-1,5
2015-01-24 15:00:00,534.66,75.0,-1,5
2015-01-24 16:00:00,296.05,48.0,-1,5
2015-01-24 17:00:00,350.88,52.0,-1,5
2015-01-24 18:00:00,461.74,71.0,-1,5
2015-01-24 19:00:00,660.5,87.0,-1,5
2015-01-24 20:00:00,731.05,125.0,-1,5
