ds,sales,n_clients,imputed,weekday
2015-01-02 09:00:00,311.14,73.0,1,4
2015-01-02 10:00:00,311.14,73.0,-1,4
2015-01-02 11:00:00,639.9200000000001,144.0,-1,4
2015-01-02 12:00:00,968.22,202.0,-1,4
2015-01-02 13:00:00,680.23,167.0,-1,4
2015-01-02 14:00:00,295.23,96.0,-1,4
2015-01-02 15:00:00,151.115,49.0,1,4
2015-01-02 16:00:00,7.0,2.0,-1,4
2015-01-02 17:00:00,326.24,62.0,-1,4
2015-01-02 18:00:00,213.71,48.0,-1,4
2015-01-02 19:00:00,377.36,78.0,-1,4
2015-01-02 20:00:00,366.35,81.0,-1,4
2015-01-02 21:00:00,366.35,81.0,1,4
2015-01-03 09:00:00,616.85,128.0,1,5
2015-01-03 10:00:00,616.85,128.0,-1,5
2015-01-03 11:00:00,797.01,187.0,-1,5
2015-01-03 12:00:00,893.24,187.0,-1,5
2015-01-03 13:00:00,639.79,143.0,-1,5
2015-01-03 14:00:00,324.73,82.0,-1,5
2015-01-03 15:00:00,165.865,42.5,1,5
2015-01-03 16:00:00,7.0,3.0,-1,5
2015-01-03 17:00:00,285.15999999999997,43.0,-1,5
2015-01-03 18:00:00,499.77,72.0,-1,5
2015-01-03 19:00:00,336.77,75.0,-1,5
2015-01-03 20:00:00,404.0,89.0,-1,5
2015-01-03 21:00:00,2.0,1.0,-1,5
2015-01-04 09:00:00,11.0,3.0,0,6
2015-01-04 10:00:00,11.0,3.0,0,6
2015-01-04 11:00:00,11.0,3.0,0,6
2015-01-04 12:00:00,11.0,3.0,0,6
2015-01-04 13:00:00,11.0,3.0,0,6
2015-01-04 14:00:00,15.656,4.6,0,6
2015-01-04 15:00:00,20.312,6.2,0,6
2015-01-04 16:00:00,24.968000000000004,7.800000000000001,0,6
2015-01-04 17:00:00,29.624000000000002,9.4,0,6
2015-01-04 18:00:00,34.28,11.0,0,6
2015-01-04 19:00:00,68.21,13.0,0,6
2015-01-04 20:00:00,58.78,16.0,0,6
2015-01-04 21:00:00,24.52,10.0,0,6
2015-01-05 09:00:00,570.28,138.0,1,0
2015-01-05 10:00:00,570.28,138.0,-1,0
2015-01-05 11:00:00,1069.41,196.0,-1,0
2015-01-05 12:00:00,948.3599999999999,210.0,-1,0
2015-01-05 13:00:00,774.31,188.0,-1,0
2015-01-05 14:00:00,419.13,106.0,-1,0
2015-01-05 15:00:00,232.065,60.0,1,0
2015-01-05 16:00:00,45.0,14.0,-1,0
2015-01-05 17:00:00,485.79,116.0,-1,0
2015-01-05 18:00:00,454.58000000000004,111.0,-1,0
2015-01-05 19:00:00,685.5699999999999,154.0,-1,0
2015-01-05 20:00:00,609.39,91.0,-1,0
2015-01-05 21:00:00,32.85,14.0,-1,0
2015-01-06 09:00:00,5.55,2.0,1,1
2015-01-06 10:00:00,5.55,2.0,1,1
2015-01-06 11:00:00,5.55,2.0,1,1
2015-01-06 12:00:00,5.55,2.0,1,1
2015-01-06 13:00:00,5.55,2.0,-1,1
2015-01-06 14:00:00,11.766,3.0,1,1
2015-01-06 15:00:00,17.982,4.0,1,1
2015-01-06 16:00:00,24.198,5.0,1,1
2015-01-06 17:00:00,30.414,6.0,1,1
2015-01-06 18:00:00,36.63,7.0,-1,1
2015-01-06 19:00:00,47.75,11.0,-1,1
2015-01-06 20:00:00,111.43,17.0,-1,1
2015-01-06 21:00:00,54.44,16.0,-1,1
2015-01-07 09:00:00,399.06,99.0,1,2
2015-01-07 10:00:00,399.06,99.0,-1,2
2015-01-07 11:00:00,817.46,184.0,-1,2
2015-01-07 12:00:00,812.33,197.0,-1,2
2015-01-07 13:00:00,725.8199999999999,179.0,-1,2
2015-01-07 14:00:00,343.74,104.0,-1,2
2015-01-07 15:00:00,174.37,52.5,1,2
2015-01-07 16:00:00,5.0,1.0,-1,2
2015-01-07 17:00:00,327.18999999999994,71.0,-1,2
2015-01-07 18:00:00,349.69000000000005,80.0,-1,2
2015-01-07 19:00:00,431.65999999999997,95.0,-1,2
2015-01-07 20:00:00,309.35,85.0,-1,2
2015-01-07 21:00:00,309.35,85.0,1,2
2015-01-08 09:00:00,587.61,132.0,1,3
2015-01-08 10:00:00,587.61,132.0,-1,3
2015-01-08 11:00:00,955.4499999999999,183.0,-1,3
2015-01-08 12:00:00,734.13,189.0,-1,3
2015-01-08 13:00:00,698.8199999999999,170.0,-1,3
2015-01-08 14:00:00,293.03999999999996,82.0,-1,3
2015-01-08 15:00:00,1.0,1.0,-1,3
2015-01-08 16:00:00,8.0,1.0,-1,3
2015-01-08 17:00:00,242.71,47.0,-1,3
2015-01-08 18:00:00,417.99,81.0,-1,3
2015-01-08 19:00:00,373.78,89.0,-1,3
2015-01-08 20:00:00,305.27,74.0,-1,3
2015-01-08 21:00:00,67.6,18.0,-1,3
2015-01-09 09:00:00,637.5600000000001,128.0,1,4
2015-01-09 10:00:00,637.5600000000001,128.0,-1,4
2015-01-09 11:00:00,928.3199999999999,174.0,-1,4
2015-01-09 12:00:00,748.74,179.0,-1,4
2015-01-09 13:00:00,624.46,162.0,-1,4
2015-01-09 14:00:00,223.96,73.0,-1,4
2015-01-09 15:00:00,2.0,1.0,-1,4
2015-01-09 16:00:00,3.0,1.0,-1,4
2015-01-09 17:00:00,303.08,58.0,-1,4
2015-01-09 18:00:00,445.38,90.0,-1,4
2015-01-09 19:00:00,407.6,85.0,-1,4
2015-01-09 20:00:00,292.92,64.0,-1,4
2015-01-09 21:00:00,292.92,64.0,1,4
2015-01-10 09:00:00,599.11,111.0,1,5
2015-01-10 10:00:00,599.11,111.0,-1,5
2015-01-10 11:00:00,843.3900000000001,203.0,-1,5
2015-01-10 12:00:00,978.06,187.0,-1,5
2015-01-10 13:00:00,1005.8199999999999,155.0,-1,5
2015-01-10 14:00:00,376.09000000000003,95.0,-1,5
2015-01-10 15:00:00,196.11,50.0,1,5
2015-01-10 16:00:00,16.13,5.0,-1,5
2015-01-10 17:00:00,299.2,53.0,-1,5
2015-01-10 18:00:00,410.13,89.0,-1,5
2015-01-10 19:00:00,569.0,97.0,-1,5
2015-01-10 20:00:00,409.79,89.0,-1,5
2015-01-10 21:00:00,31.49,8.0,-1,5
2015-01-11 09:00:00,11.0,3.0,1,6
2015-01-11 10:00:00,11.0,3.0,1,6
2015-01-11 11:00:00,11.0,3.0,1,6
2015-01-11 12:00:00,11.0,3.0,1,6
2015-01-11 13:00:00,11.0,3.0,-1,6
2015-01-11 14:00:00,15.656,4.6,1,6
2015-01-11 15:00:00,20.312,6.2,1,6
2015-01-11 16:00:00,24.968000000000004,7.800000000000001,1,6
2015-01-11 17:00:00,29.624000000000002,9.4,1,6
2015-01-11 18:00:00,34.28,11.0,-1,6
2015-01-11 19:00:00,68.21,13.0,-1,6
2015-01-11 20:00:00,58.78,16.0,-1,6
2015-01-11 21:00:00,24.52,10.0,-1,6
2015-01-12 09:00:00,492.82000000000005,125.0,1,0
2015-01-12 10:00:00,492.82000000000005,125.0,-1,0
2015-01-12 11:00:00,645.28,153.0,-1,0
2015-01-12 12:00:00,887.44,208.0,-1,0
2015-01-12 13:00:00,658.34,155.0,-1,0
2015-01-12 14:00:00,300.94,94.0,-1,0
2015-01-12 15:00:00,150.97,47.5,1,0
2015-01-12 16:00:00,1.0,1.0,-1,0
2015-01-12 17:00:00,373.86,65.0,-1,0
2015-01-12 18:00:00,544.6800000000001,101.0,-1,0
2015-01-12 19:00:00,583.98,100.0,-1,0
2015-01-12 20:00:00,1583.22,87.0,-1,0
2015-01-12 21:00:00,72.11,11.0,-1,0
2015-01-13 09:00:00,641.19,125.0,1,1
2015-01-13 10:00:00,641.19,125.0,-1,1
2015-01-13 11:00:00,739.73,169.0,-1,1
2015-01-13 12:00:00,845.6200000000001,199.0,-1,1
2015-01-13 13:00:00,713.21,156.0,-1,1
2015-01-13 14:00:00,293.49,60.0,-1,1
2015-01-13 15:00:00,154.665,32.5,1,1
2015-01-13 16:00:00,15.84,5.0,-1,1
