ds,sales,n_clients,imputed,weekday
2015-01-02 09:00:00,306.91999999999996,61.0,1,4
2015-01-02 10:00:00,306.91999999999996,61.0,-1,4
2015-01-02 11:00:00,643.96,84.0,-1,4
2015-01-02 12:00:00,656.56,108.0,-1,4
2015-01-02 13:00:00,690.1700000000001,116.0,-1,4
2015-01-02 14:00:00,435.73,73.0,-1,4
2015-01-02 15:00:00,4.4,1.0,-1,4
2015-01-02 16:00:00,115.14,20.5,1,4
2015-01-02 17:00:00,225.88,40.0,-1,4
2015-01-02 18:00:00,295.52,48.0,-1,4
2015-01-02 19:00:00,337.15999999999997,57.0,-1,4
2015-01-02 20:00:00,383.71000000000004,55.0,-1,4
2015-01-02 21:00:00,74.0,11.0,-1,4
2015-01-03 09:00:00,361.05,53.0,1,5
2015-01-03 10:00:00,361.05,53.0,-1,5
2015-01-03 11:00:00,553.8199999999999,90.0,-1,5
2015-01-03 12:00:00,767.81,100.0,-1,5
2015-01-03 13:00:00,793.56,117.0,-1,5
2015-01-03 14:00:00,519.78,77.0,-1,5
2015-01-03 15:00:00,9.75,2.0,-1,5
2015-01-03 16:00:00,136.95,19.5,1,5
2015-01-03 17:00:00,264.15,37.0,-1,5
2015-01-03 18:00:00,303.18,51.0,-1,5
2015-01-03 19:00:00,383.33000000000004,66.0,-1,5
2015-01-03 20:00:00,390.95,68.0,-1,5
2015-01-03 21:00:00,1.0,1.0,-1,5
2015-01-05 09:00:00,1226.53,79.0,1,0
2015-01-05 10:00:00,1226.53,79.0,-1,0
2015-01-05 11:00:00,857.63,97.0,-1,0
2015-01-05 12:00:00,2621.13,120.0,-1,0
2015-01-05 13:00:00,1079.88,142.0,-1,0
2015-01-05 14:00:00,779.8700000000001,104.0,-1,0
2015-01-05 15:00:00,44.11,9.0,-1,0
2015-01-05 16:00:00,189.245,36.5,1,0
2015-01-05 17:00:00,334.38,64.0,-1,0
2015-01-05 18:00:00,613.3199999999999,101.0,-1,0
2015-01-05 19:00:00,664.39,110.0,-1,0
2015-01-05 20:00:00,506.12,98.0,-1,0
2015-01-05 21:00:00,87.15,14.0,-1,0
2015-01-06 09:00:00,14.01,3.0,1,1
2015-01-06 10:00:00,14.01,3.0,1,1
2015-01-06 11:00:00,14.01,3.0,1,1
2015-01-06 12:00:00,14.01,3.0,1,1
2015-01-06 13:00:00,14.01,3.0,1,1
2015-01-06 14:00:00,14.01,3.0,1,1
2015-01-06 15:00:00,14.01,3.0,1,1
2015-01-06 16:00:00,14.01,3.0,1,1
2015-01-06 17:00:00,14.01,3.0,1,1
2015-01-06 18:00:00,14.01,3.0,-1,1
2015-01-06 19:00:00,33.47,5.0,-1,1
2015-01-06 20:00:00,60.73,6.0,-1,1
2015-01-06 21:00:00,46.31,5.0,-1,1
2015-01-07 09:00:00,297.84999999999997,51.0,1,2
2015-01-07 10:00:00,297.84999999999997,51.0,-1,2
2015-01-07 11:00:00,578.83,88.0,-1,2
2015-01-07 12:00:00,606.08,95.0,-1,2
2015-01-07 13:00:00,601.5799999999999,105.0,-1,2
2015-01-07 14:00:00,595.48,85.0,-1,2
2015-01-07 15:00:00,23.88,4.0,-1,2
2015-01-07 16:00:00,175.20000000000002,30.0,1,2
2015-01-07 17:00:00,326.52000000000004,56.0,-1,2
2015-01-07 18:00:00,260.87,49.0,-1,2
2015-01-07 19:00:00,392.04999999999995,63.0,-1,2
2015-01-07 20:00:00,367.59,68.0,-1,2
2015-01-07 21:00:00,367.59,68.0,1,2
2015-01-08 09:00:00,74.96,1.0,-1,3
2015-01-08 10:00:00,2185.27,57.0,-1,3
2015-01-08 11:00:00,648.3199999999999,89.0,-1,3
2015-01-08 12:00:00,742.9100000000001,101.0,-1,3
2015-01-08 13:00:00,786.59,111.0,-1,3
2015-01-08 14:00:00,509.82000000000005,82.0,-1,3
2015-01-08 15:00:00,21.81,5.0,-1,3
2015-01-08 16:00:00,185.32000000000002,23.5,1,3
2015-01-08 17:00:00,348.83000000000004,42.0,-1,3
2015-01-08 18:00:00,261.37,55.0,-1,3
2015-01-08 19:00:00,476.0,70.0,-1,3
2015-01-08 20:00:00,411.17999999999995,88.0,-1,3
2015-01-08 21:00:00,92.75,9.0,-1,3
2015-01-09 09:00:00,328.02,56.0,1,4
2015-01-09 10:00:00,328.02,56.0,-1,4
2015-01-09 11:00:00,531.39,85.0,-1,4
2015-01-09 12:00:00,871.24,87.0,-1,4
2015-01-09 13:00:00,677.81,112.0,-1,4
2015-01-09 14:00:00,474.54999999999995,68.0,-1,4
2015-01-09 15:00:00,83.35,6.0,-1,4
2015-01-09 16:00:00,162.82999999999998,18.0,1,4
2015-01-09 17:00:00,242.31,30.0,-1,4
2015-01-09 18:00:00,336.34,50.0,-1,4
2015-01-09 19:00:00,564.18,76.0,-1,4
2015-01-09 20:00:00,387.96,56.0,-1,4
2015-01-09 21:00:00,387.96,56.0,1,4
2015-01-10 09:00:00,515.15,63.0,1,5
2015-01-10 10:00:00,515.15,63.0,-1,5
2015-01-10 11:00:00,682.1500000000001,85.0,-1,5
2015-01-10 12:00:00,816.8399999999999,100.0,-1,5
2015-01-10 13:00:00,822.0,106.0,-1,5
2015-01-10 14:00:00,625.83,100.0,-1,5
2015-01-10 15:00:00,41.23,8.0,-1,5
2015-01-10 16:00:00,6.0,2.0,-1,5
2015-01-10 17:00:00,155.72,24.0,-1,5
2015-01-10 18:00:00,329.68,64.0,-1,5
2015-01-10 19:00:00,492.36,68.0,-1,5
