ds,sales,n_clients,imputed
2015-01-02 09:00:00,112.01,36.0,yes
2015-01-02 09:30:00,112.01,36.0,yes
2015-01-02 10:00:00,112.01,36.0,no
2015-01-02 10:30:00,199.13,37.0,no
2015-01-02 11:00:00,261.59000000000003,62.0,no
2015-01-02 11:30:00,378.33,82.0,no
2015-01-02 12:00:00,503.97,99.0,no
2015-01-02 12:30:00,464.25,103.0,no
2015-01-02 13:00:00,343.85,82.0,no
2015-01-02 13:30:00,336.38,85.0,no
2015-01-02 14:00:00,208.91,66.0,no
2015-01-02 14:30:00,86.32,30.0,no
2015-01-02 15:00:00,66.49,23.0,yes
2015-01-02 15:30:00,46.66,16.0,yes
2015-01-02 16:00:00,26.83,9.0,yes
2015-01-02 16:30:00,7.0,2.0,no
2015-01-02 17:00:00,139.94,28.0,no
2015-01-02 17:30:00,186.3,34.0,no
2015-01-02 18:00:00,93.62,24.0,no
2015-01-02 18:30:00,120.09,24.0,no
2015-01-02 19:00:00,139.18,31.0,no
2015-01-02 19:30:00,238.18,47.0,no
2015-01-02 20:00:00,231.27,45.0,no
2015-01-02 20:30:00,135.08,36.0,no
2015-01-02 21:00:00,135.08,36.0,yes
2015-01-03 09:00:00,240.23,57.0,yes
2015-01-03 09:30:00,240.23,57.0,yes
2015-01-03 10:00:00,240.23,57.0,no
2015-01-03 10:30:00,376.62,71.0,no
2015-01-03 11:00:00,457.42,91.0,no
2015-01-03 11:30:00,339.5900000000001,96.0,no
2015-01-03 12:00:00,456.25,88.0,no
2015-01-03 12:30:00,436.99,99.0,no
2015-01-03 13:00:00,300.08,62.0,no
2015-01-03 13:30:00,339.71,81.0,no
2015-01-03 14:00:00,175.06,43.0,no
2015-01-03 14:30:00,149.67,39.0,no
2015-01-03 15:00:00,114.0025,30.0,yes
2015-01-03 15:30:00,78.335,21.0,yes
2015-01-03 16:00:00,42.66749999999999,12.0,yes
2015-01-03 16:30:00,7.0,3.0,no
2015-01-03 17:00:00,159.38,18.0,no
2015-01-03 17:30:00,125.78,25.0,no
2015-01-03 18:00:00,259.94,34.0,no
2015-01-03 18:30:00,239.83,38.0,no
2015-01-03 19:00:00,144.67000000000004,36.0,no
2015-01-03 19:30:00,192.1,39.0,no
2015-01-03 20:00:00,214.26,52.0,no
2015-01-03 20:30:00,189.74,37.0,no
2015-01-03 21:00:00,2.0,1.0,no
2015-01-05 09:00:00,206.26,57.0,yes
2015-01-05 09:30:00,206.26,57.0,yes
2015-01-05 10:00:00,206.26,57.0,no
2015-01-05 10:30:00,364.02,81.0,no
2015-01-05 11:00:00,445.48,83.0,no
2015-01-05 11:30:00,623.9300000000002,113.0,no
2015-01-05 12:00:00,497.78,104.0,no
2015-01-05 12:30:00,450.58,106.0,no
2015-01-05 13:00:00,399.47,96.0,no
2015-01-05 13:30:00,374.84,92.0,no
2015-01-05 14:00:00,263.69,65.0,no
2015-01-05 14:30:00,155.44,41.0,no
2015-01-05 15:00:00,127.83,34.25,yes
2015-01-05 15:30:00,100.22,27.5,yes
2015-01-05 16:00:00,72.61,20.75,yes
2015-01-05 16:30:00,45.0,14.0,no
2015-01-05 17:00:00,183.62,41.0,no
2015-01-05 17:30:00,302.17,75.0,no
2015-01-05 18:00:00,301.54,73.0,no
2015-01-05 18:30:00,153.04,38.0,no
2015-01-05 19:00:00,402.84,90.0,no
2015-01-05 19:30:00,282.73,64.0,no
2015-01-05 20:00:00,416.54,54.0,no
2015-01-05 20:30:00,192.85,37.0,no
2015-01-05 21:00:00,32.85,14.0,no
2015-01-06 09:00:00,5.55,2.0,yes
2015-01-06 09:30:00,5.55,2.0,yes
2015-01-06 10:00:00,5.55,2.0,yes
2015-01-06 10:30:00,5.55,2.0,yes
2015-01-06 11:00:00,5.55,2.0,yes
2015-01-06 11:30:00,5.55,2.0,yes
2015-01-06 12:00:00,5.55,2.0,yes
2015-01-06 12:30:00,5.55,2.0,yes
2015-01-06 13:00:00,5.55,2.0,no
2015-01-06 13:30:00,8.658,2.5,yes
2015-01-06 14:00:00,11.766,3.0,yes
2015-01-06 14:30:00,14.873999999999999,3.5,yes
2015-01-06 15:00:00,17.982,4.0,yes
2015-01-06 15:30:00,21.09,4.5,yes
2015-01-06 16:00:00,24.198,5.0,yes
2015-01-06 16:30:00,27.306,5.5,yes
2015-01-06 17:00:00,30.414,6.0,yes
2015-01-06 17:30:00,33.522,6.5,yes
2015-01-06 18:00:00,36.63,7.0,no
2015-01-06 18:30:00,42.19,9.0,yes
2015-01-06 19:00:00,47.75,11.0,no
2015-01-06 19:30:00,79.59,14.0,yes
2015-01-06 20:00:00,111.43,17.0,no
2015-01-06 20:30:00,82.935,16.5,yes
2015-01-06 21:00:00,54.44,16.0,no
2015-01-07 09:00:00,183.07,44.0,yes
2015-01-07 09:30:00,183.07,44.0,yes
2015-01-07 10:00:00,183.07,44.0,no
2015-01-07 10:30:00,215.99,55.0,no
2015-01-07 11:00:00,425.71,89.0,no
2015-01-07 11:30:00,391.75,95.0,no
2015-01-07 12:00:00,388.47,93.0,no
2015-01-07 12:30:00,423.86,104.0,no
2015-01-07 13:00:00,361.75,82.0,no
2015-01-07 13:30:00,364.07,97.0,no
2015-01-07 14:00:00,241.63,68.0,no
2015-01-07 14:30:00,102.11,36.0,no
2015-01-07 15:00:00,77.8325,27.25,yes
2015-01-07 15:30:00,53.555,18.5,yes
2015-01-07 16:00:00,29.277500000000003,9.75,yes
2015-01-07 16:30:00,5.0,1.0,no
2015-01-07 17:00:00,186.29,32.0,no
2015-01-07 17:30:00,140.89999999999995,39.0,no
2015-01-07 18:00:00,176.71,39.0,no
2015-01-07 18:30:00,172.98000000000005,41.0,no
2015-01-07 19:00:00,200.07,37.0,no
2015-01-07 19:30:00,231.59,58.0,no
2015-01-07 20:00:00,162.57,51.0,no
2015-01-07 20:30:00,146.78,34.0,no
2015-01-07 21:00:00,146.78,34.0,yes
2015-01-08 09:00:00,251.83,59.0,yes
2015-01-08 09:30:00,251.83,59.0,yes
2015-01-08 10:00:00,251.83,59.0,no
2015-01-08 10:30:00,335.78,73.0,no
2015-01-08 11:00:00,554.31,84.0,no
2015-01-08 11:30:00,401.14,99.0,no
2015-01-08 12:00:00,361.11,94.0,no
2015-01-08 12:30:00,373.02,95.0,no
2015-01-08 13:00:00,397.84,89.0,no
2015-01-08 13:30:00,300.98,81.0,no
2015-01-08 14:00:00,190.39,46.0,no
2015-01-08 14:30:00,102.65,36.0,no
2015-01-08 15:00:00,1.0,1.0,no
2015-01-08 15:30:00,3.3333333333333335,1.0,yes
2015-01-08 16:00:00,5.666666666666667,1.0,yes
2015-01-08 16:30:00,8.0,1.0,no
2015-01-08 17:00:00,102.56,23.0,no
2015-01-08 17:30:00,140.15,24.0,no
2015-01-08 18:00:00,196.92,36.0,no
2015-01-08 18:30:00,221.07,45.0,no
2015-01-08 19:00:00,198.47,50.0,no
2015-01-08 19:30:00,175.31,39.0,no
2015-01-08 20:00:00,174.86,39.0,no
2015-01-08 20:30:00,130.41,35.0,no
2015-01-08 21:00:00,67.6,18.0,no
2015-01-09 09:00:00,309.3300000000001,57.0,yes
2015-01-09 09:30:00,309.3300000000001,57.0,yes
2015-01-09 10:00:00,309.3300000000001,57.0,no
2015-01-09 10:30:00,328.23,71.0,no
2015-01-09 11:00:00,354.03,80.0,no
2015-01-09 11:30:00,574.29,94.0,no
2015-01-09 12:00:00,351.16,75.0,no
2015-01-09 12:30:00,397.58,104.0,no
2015-01-09 13:00:00,313.65,90.0,no
2015-01-09 13:30:00,310.81,72.0,no
2015-01-09 14:00:00,182.43,51.0,no
2015-01-09 14:30:00,41.53,22.0,no
2015-01-09 15:00:00,2.0,1.0,no
2015-01-09 15:30:00,2.3333333333333335,1.0,yes
2015-01-09 16:00:00,2.6666666666666665,1.0,yes
2015-01-09 16:30:00,3.0,1.0,no
2015-01-09 17:00:00,118.61,29.0,no
2015-01-09 17:30:00,184.47,29.0,no
2015-01-09 18:00:00,237.69,47.0,no
2015-01-09 18:30:00,207.69,43.0,no
2015-01-09 19:00:00,174.84,38.0,no
2015-01-09 19:30:00,232.76,47.0,no
2015-01-09 20:00:00,202.27,36.0,no
2015-01-09 20:30:00,90.65,28.0,no
2015-01-09 21:00:00,90.65,28.0,yes
2015-01-10 09:00:00,216.21,45.0,yes
2015-01-10 09:30:00,216.21,45.0,yes
2015-01-10 10:00:00,216.21,45.0,no
2015-01-10 10:30:00,382.9,66.0,no
2015-01-10 11:00:00,331.9600000000001,91.0,no
2015-01-10 11:30:00,511.43,112.0,no
2015-01-10 12:00:00,507.7,94.0,no
2015-01-10 12:30:00,470.36,93.0,no
2015-01-10 13:00:00,457.32,99.0,no
2015-01-10 13:30:00,548.5,56.0,no
2015-01-10 14:00:00,243.9,58.0,no
2015-01-10 14:30:00,132.19,37.0,no
2015-01-10 15:00:00,103.175,29.0,yes
2015-01-10 15:30:00,74.16,21.0,yes
2015-01-10 16:00:00,45.144999999999996,13.0,yes
2015-01-10 16:30:00,16.13,5.0,no
2015-01-10 17:00:00,56.52,12.0,no
2015-01-10 17:30:00,242.68,41.0,no
2015-01-10 18:00:00,199.7,46.0,no
2015-01-10 18:30:00,210.43,43.0,no
2015-01-10 19:00:00,377.72,54.0,no
2015-01-10 19:30:00,191.28,43.0,no
2015-01-10 20:00:00,294.05,59.0,no
2015-01-10 20:30:00,115.74,30.0,no
2015-01-10 21:00:00,31.49,8.0,no
2015-01-11 09:00:00,11.0,3.0,yes
2015-01-11 09:30:00,11.0,3.0,yes
2015-01-11 10:00:00,11.0,3.0,yes
2015-01-11 10:30:00,11.0,3.0,yes
2015-01-11 11:00:00,11.0,3.0,yes
2015-01-11 11:30:00,11.0,3.0,yes
2015-01-11 12:00:00,11.0,3.0,yes
2015-01-11 12:30:00,11.0,3.0,yes
2015-01-11 13:00:00,11.0,3.0,no
2015-01-11 13:30:00,13.328,3.8,yes
2015-01-11 14:00:00,15.656,4.6,yes
2015-01-11 14:30:00,17.984,5.4,yes
2015-01-11 15:00:00,20.312,6.2,yes
2015-01-11 15:30:00,22.64,7.0,yes
2015-01-11 16:00:00,24.968000000000004,7.800000000000001,yes
2015-01-11 16:30:00,27.296000000000003,8.600000000000001,yes
2015-01-11 17:00:00,29.624000000000002,9.4,yes
2015-01-11 17:30:00,31.952,10.2,yes
2015-01-11 18:00:00,34.28,11.0,no
2015-01-11 18:30:00,51.245,12.0,yes
2015-01-11 19:00:00,68.21,13.0,no
2015-01-11 19:30:00,63.495,14.5,yes
2015-01-11 20:00:00,58.78,16.0,no
2015-01-11 20:30:00,41.65,13.0,yes
2015-01-11 21:00:00,24.52,10.0,no
2015-01-12 09:00:00,163.91,51.0,yes
2015-01-12 09:30:00,163.91,51.0,yes
2015-01-12 10:00:00,163.91,51.0,no
2015-01-12 10:30:00,328.91,74.0,no
2015-01-12 11:00:00,324.86,69.0,no
2015-01-12 11:30:00,320.42,84.0,no
2015-01-12 12:00:00,471.17,100.0,no
2015-01-12 12:30:00,416.27,108.0,no
2015-01-12 13:00:00,407.41,91.0,no
2015-01-12 13:30:00,250.93,64.0,no
2015-01-12 14:00:00,253.4,69.0,no
2015-01-12 14:30:00,47.54,25.0,no
2015-01-12 15:00:00,35.905,19.0,yes
2015-01-12 15:30:00,24.27,13.0,yes
2015-01-12 16:00:00,12.634999999999998,7.0,yes
2015-01-12 16:30:00,1.0,1.0,no
2015-01-12 17:00:00,125.15,21.0,no
2015-01-12 17:30:00,248.71,44.0,no
2015-01-12 18:00:00,262.51,60.0,no
2015-01-12 18:30:00,282.17,41.0,no
2015-01-12 19:00:00,362.27,62.0,no
2015-01-12 19:30:00,221.71,38.0,no
2015-01-12 20:00:00,721.31,52.0,no
2015-01-12 20:30:00,861.9100000000002,35.0,no
2015-01-12 21:00:00,72.11,11.0,no
2015-01-13 09:00:00,222.95,50.0,yes
2015-01-13 09:30:00,222.95,50.0,yes
2015-01-13 10:00:00,222.95,50.0,no
2015-01-13 10:30:00,418.24,75.0,no
2015-01-13 11:00:00,310.7100000000001,76.0,no
2015-01-13 11:30:00,429.02,93.0,no
2015-01-13 12:00:00,452.07000000000005,100.0,no
2015-01-13 12:30:00,393.55,99.0,no
2015-01-13 13:00:00,373.9,89.0,no
2015-01-13 13:30:00,339.31,67.0,no
2015-01-13 14:00:00,157.43,31.0,no
2015-01-13 14:30:00,136.06,29.0,no
2015-01-13 15:00:00,106.005,23.0,yes
2015-01-13 15:30:00,75.95,17.0,yes
2015-01-13 16:00:00,45.89500000000001,11.0,yes
2015-01-13 16:30:00,15.84,5.0,no
2015-01-13 17:00:00,118.23,27.0,no
2015-01-13 17:30:00,58.62,20.0,no
2015-01-13 18:00:00,202.29,43.0,no
2015-01-13 18:30:00,176.01999999999995,32.0,no
2015-01-13 19:00:00,217.04,51.0,no
2015-01-13 19:30:00,173.44,32.0,no
2015-01-13 20:00:00,227.47,47.0,no
2015-01-13 20:30:00,53.5,26.0,no
2015-01-13 21:00:00,72.75,10.0,no
2015-01-14 09:00:00,463.64,67.0,yes
2015-01-14 09:30:00,463.64,67.0,yes
2015-01-14 10:00:00,463.64,67.0,no
2015-01-14 10:30:00,560.03,74.0,no
2015-01-14 11:00:00,604.61,82.0,no
2015-01-14 11:30:00,883.46,85.0,no
2015-01-14 12:00:00,657.4000000000002,75.0,no
2015-01-14 12:30:00,806.54,94.0,no
2015-01-14 13:00:00,604.46,86.0,no
2015-01-14 13:30:00,477.51,65.0,no
2015-01-14 14:00:00,385.41,65.0,no
2015-01-14 14:30:00,124.36,16.0,no
2015-01-14 15:00:00,124.36,16.0,yes
2015-01-14 15:30:00,124.36,16.0,yes
2015-01-14 16:00:00,124.36,16.0,yes
2015-01-14 16:30:00,124.36,16.0,yes
2015-01-14 17:00:00,124.36,16.0,yes
2015-01-14 17:30:00,124.36,16.0,yes
2015-01-14 18:00:00,124.36,16.0,yes
2015-01-14 18:30:00,124.36,16.0,yes
2015-01-14 19:00:00,124.36,16.0,yes
2015-01-14 19:30:00,124.36,16.0,yes
2015-01-14 20:00:00,124.36,16.0,yes
2015-01-14 20:30:00,124.36,16.0,yes
2015-01-14 21:00:00,124.36,16.0,yes
2015-01-15 09:00:00,193.31,50.0,yes
2015-01-15 09:30:00,193.31,50.0,yes
2015-01-15 10:00:00,193.31,50.0,no
2015-01-15 10:30:00,321.76,78.0,no
2015-01-15 11:00:00,434.84,87.0,no
2015-01-15 11:30:00,398.87,84.0,no
2015-01-15 12:00:00,364.66,86.0,no
2015-01-15 12:30:00,390.33,100.0,no
2015-01-15 13:00:00,268.62,82.0,no
2015-01-15 13:30:00,238.76,69.0,no
2015-01-15 14:00:00,157.63,46.0,no
2015-01-15 14:30:00,87.89,20.0,no
2015-01-15 15:00:00,70.8175,16.0,yes
2015-01-15 15:30:00,53.745000000000005,12.0,yes
2015-01-15 16:00:00,36.67250000000001,8.0,yes
2015-01-15 16:30:00,19.6,4.0,no
2015-01-15 17:00:00,83.53,23.0,no
2015-01-15 17:30:00,115.96,29.0,no
2015-01-15 18:00:00,173.61,33.0,no
2015-01-15 18:30:00,149.61,31.0,no
2015-01-15 19:00:00,328.2800000000001,52.0,no
2015-01-15 19:30:00,208.76,41.0,no
2015-01-15 20:00:00,262.76,60.0,no
2015-01-15 20:30:00,99.73,29.0,no
2015-01-15 21:00:00,47.73,10.0,no
2015-01-16 09:00:00,270.54,58.0,yes
2015-01-16 09:30:00,270.54,58.0,yes
2015-01-16 10:00:00,270.54,58.0,no
2015-01-16 10:30:00,419.91,78.0,no
2015-01-16 11:00:00,475.26,97.0,no
2015-01-16 11:30:00,475.8,83.0,no
2015-01-16 12:00:00,454.03,87.0,no
2015-01-16 12:30:00,403.97,100.0,no
2015-01-16 13:00:00,409.25,80.0,no
2015-01-16 13:30:00,264.84000000000003,63.0,no
2015-01-16 14:00:00,259.47,65.0,no
2015-01-16 14:30:00,90.49,23.0,no
2015-01-16 15:00:00,1.38,2.0,no
2015-01-16 15:30:00,3.5866666666666664,2.0,yes
2015-01-16 16:00:00,5.793333333333333,2.0,yes
2015-01-16 16:30:00,8.0,2.0,no
2015-01-16 17:00:00,209.46,35.0,no
2015-01-16 17:30:00,180.72,26.0,no
2015-01-16 18:00:00,220.55,44.0,no
2015-01-16 18:30:00,178.77,36.0,no
2015-01-16 19:00:00,323.22,50.0,no
2015-01-16 19:30:00,196.01,40.0,no
2015-01-16 20:00:00,192.37,49.0,no
2015-01-16 20:30:00,170.89,30.0,no
