ds,n_clients,T2M,T2MDEW,T2MWET,QV2M,RH2M,PS,WS2M,WD2M,WS10M,WD10M
2015-01-02 10:00:00,91,13.0,0.23,6.62,3.85,41.94,101.44,1.33,223.34,1.76,222.84
2015-01-02 11:00:00,143,13.98,-1.6,6.19,3.36,34.38,101.42,1.15,227.75,1.42,227.68
2015-01-02 12:00:00,165,14.3,-0.92,6.69,3.54,35.31,101.36,0.98,222.09,1.18,221.51
2015-01-02 13:00:00,180,14.5,-0.76,6.87,3.6,35.25,101.3,0.82,214.14,0.99,213.06
2015-01-02 14:00:00,156,14.54,0.23,7.38,3.85,37.69,101.26,0.69,208.61,0.88,206.79
2015-01-02 15:00:00,60,14.19,1.26,7.73,4.15,41.5,101.25,0.55,198.95,0.77,197.15
2015-01-02 16:00:00,28,13.18,0.2,6.69,3.85,41.06,101.23,0.65,178.62,0.92,178.06
2015-01-02 17:00:00,47,11.9,0.71,6.3,3.97,46.19,101.23,0.93,179.04,1.44,179.69
2015-01-02 18:00:00,64,11.37,0.77,6.07,3.97,48.06,101.24,1.23,188.8,1.94,189.27
2015-01-02 19:00:00,88,10.88,0.81,5.84,3.97,49.81,101.24,1.37,201.01,2.23,200.98
2015-01-02 20:00:00,85,10.54,0.69,5.61,3.97,50.62,101.23,1.5,212.2,2.45,211.81
2015-01-02 21:00:00,30,10.1,0.31,5.21,3.85,50.75,101.22,1.69,218.04,2.74,217.13
2015-01-03 10:00:00,112,13.55,3.33,8.44,4.82,50.38,101.24,2.29,245.36,3.12,243.88
2015-01-03 11:00:00,138,14.37,2.87,8.62,4.7,46.38,101.25,2.74,262.29,3.59,261.99
2015-01-03 12:00:00,168,14.58,4.87,9.73,5.37,52.44,101.22,3.14,270.71,4.1,270.65
2015-01-03 13:00:00,173,14.55,6.21,10.38,5.86,57.5,101.15,3.17,271.84,4.13,271.73
2015-01-03 14:00:00,156,14.37,6.96,10.67,6.23,61.25,101.11,2.81,271.12,3.72,270.84
2015-01-03 15:00:00,75,13.5,9.1,11.3,7.14,74.81,101.1,1.73,273.88,2.48,273.61
2015-01-03 16:00:00,42,11.86,7.65,9.76,6.53,75.75,101.1,1.64,274.09,2.36,273.42
2015-01-03 17:00:00,40,10.88,6.83,8.86,6.16,76.44,101.13,1.77,273.54,2.45,272.74
2015-01-03 18:00:00,67,10.22,7.05,8.64,6.23,81.06,101.18,1.93,273.72,2.68,272.84
2015-01-03 19:00:00,75,9.69,7.26,8.48,6.29,85.12,101.22,2.1,272.78,2.95,271.82
2015-01-03 20:00:00,83,9.05,7.39,8.22,6.35,89.56,101.25,2.17,268.56,3.1,267.4
2015-01-03 21:00:00,29,8.43,7.34,7.88,6.35,93.12,101.27,2.24,260.57,3.29,259.33
2015-01-05 10:00:00,113,12.51,6.53,9.52,6.04,66.88,100.19,2.65,239.73,3.59,239.08
2015-01-05 11:00:00,140,13.55,6.58,10.06,6.04,62.69,100.14,2.54,263.82,3.31,263.08
2015-01-05 12:00:00,222,14.12,6.71,10.41,6.1,60.94,100.06,2.59,280.6,3.34,279.97
2015-01-05 13:00:00,226,14.23,6.9,10.56,6.23,61.31,100.0,2.55,292.71,3.27,292.34
2015-01-05 14:00:00,180,13.64,7.12,10.38,6.29,64.69,99.98,2.45,305.41,3.17,305.18
2015-01-05 15:00:00,82,12.44,8.28,10.37,6.84,75.69,99.99,1.93,321.74,2.55,322.36
2015-01-05 16:00:00,50,10.08,8.27,9.18,6.84,88.44,100.01,1.65,330.15,2.46,331.97
2015-01-05 17:00:00,63,9.04,8.31,8.67,6.84,95.12,100.06,1.67,325.12,2.29,326.69
2015-01-05 18:00:00,116,9.0,8.4,8.7,6.9,95.94,100.09,1.4,310.01,1.82,311.16
2015-01-05 19:00:00,139,9.15,8.31,8.73,6.84,94.44,100.1,1.26,287.99,1.57,287.98
2015-01-05 20:00:00,98,8.76,8.03,8.4,6.71,95.06,100.08,1.38,267.72,1.73,266.89
2015-01-05 21:00:00,54,8.08,7.65,7.87,6.53,97.06,100.07,1.6,260.45,2.12,258.94
2015-01-05 22:00:00,12,7.77,7.26,7.51,6.35,96.5,100.08,1.86,259.82,2.52,257.99
2015-01-05 23:00:00,11,7.42,6.82,7.12,6.16,95.94,100.07,1.95,261.03,2.68,258.92
2015-01-06 18:00:00,4,10.36,1.96,6.16,4.39,56.31,100.34,0.56,204.78,0.65,203.2
2015-01-06 19:00:00,8,9.8,2.26,6.04,4.52,59.75,100.37,0.98,207.99,1.23,206.89
2015-01-06 20:00:00,15,8.8,2.69,5.74,4.64,66.0,100.39,1.31,221.61,1.74,220.27
2015-01-06 21:00:00,8,8.41,3.15,5.78,4.82,70.06,100.41,1.49,228.19,2.03,226.87
2015-01-06 22:00:00,17,8.08,3.55,5.82,4.94,73.69,100.42,1.56,223.18,2.18,221.8
2015-01-06 23:00:00,10,7.66,3.76,5.72,5.0,76.88,100.42,1.64,215.89,2.34,214.38
2015-01-07 10:00:00,86,11.08,4.77,7.93,5.37,65.56,100.64,1.87,218.73,2.34,218.48
2015-01-07 11:00:00,110,12.48,6.62,9.55,6.04,67.5,100.61,1.37,227.77,1.63,227.73
2015-01-07 12:00:00,159,13.49,6.94,10.22,6.23,64.5,100.53,1.03,239.93,1.2,240.26
