ds,sales,n_clients,year,month,day,halfhour
2015-01-02 10:00:00,46.0,22,2015,01,02,20
2015-01-02 10:30:00,39.36,26,2015,01,02,21
2015-01-02 11:00:00,48.0,32,2015,01,02,22
2015-01-02 11:30:00,51.68,33,2015,01,02,23
2015-01-02 12:00:00,66.0,44,2015,01,02,24
2015-01-02 12:30:00,78.37,43,2015,01,02,25
2015-01-02 13:00:00,68.0,42,2015,01,02,26
2015-01-02 13:30:00,63.0,46,2015,01,02,27
2015-01-02 14:00:00,45.0,26,2015,01,02,28
2015-01-02 14:30:00,31.0,21,2015,01,02,29
2015-01-02 17:00:00,2.0,2,2015,01,02,34
2015-01-02 17:30:00,5.0,5,2015,01,02,35
2015-01-02 18:00:00,8.0,6,2015,01,02,36
2015-01-02 18:30:00,12.0,6,2015,01,02,37
2015-01-02 19:00:00,6.0,4,2015,01,02,38
2015-01-02 19:30:00,12.0,9,2015,01,02,39
2015-01-02 20:00:00,11.0,8,2015,01,02,40
2015-01-02 20:30:00,7.0,5,2015,01,02,41
2015-01-02 21:00:00,4.0,1,2015,01,02,42
2015-01-03 10:00:00,31.0,19,2015,01,03,20
2015-01-03 10:30:00,49.0,31,2015,01,03,21
2015-01-03 11:00:00,51.09,32,2015,01,03,22
2015-01-03 11:30:00,66.87,32,2015,01,03,23
2015-01-03 12:00:00,93.28999999999999,44,2015,01,03,24
2015-01-03 12:30:00,84.0,49,2015,01,03,25
2015-01-03 13:00:00,78.15,41,2015,01,03,26
2015-01-03 13:30:00,68.0,36,2015,01,03,27
2015-01-03 14:00:00,49.0,26,2015,01,03,28
2015-01-03 14:30:00,43.29,17,2015,01,03,29
2015-01-03 17:00:00,3.0,3,2015,01,03,34
2015-01-03 17:30:00,7.0,3,2015,01,03,35
2015-01-03 18:00:00,4.0,3,2015,01,03,36
2015-01-03 18:30:00,5.0,3,2015,01,03,37
2015-01-03 19:00:00,5.0,5,2015,01,03,38
2015-01-03 19:30:00,8.0,4,2015,01,03,39
2015-01-03 20:00:00,14.0,4,2015,01,03,40
2015-01-03 20:30:00,6.0,4,2015,01,03,41
2015-01-04 10:00:00,64.44,29,2015,01,04,20
2015-01-04 10:30:00,98.15,57,2015,01,04,21
2015-01-04 11:00:00,93.33,51,2015,01,04,22
2015-01-04 11:30:00,95.39,57,2015,01,04,23
2015-01-04 12:00:00,103.2,55,2015,01,04,24
2015-01-04 12:30:00,133.53,63,2015,01,04,25
2015-01-04 13:00:00,95.0,47,2015,01,04,26
2015-01-04 13:30:00,92.0,50,2015,01,04,27
2015-01-04 14:00:00,70.0,38,2015,01,04,28
2015-01-04 14:30:00,5.0,1,2015,01,04,29
2015-01-05 10:00:00,41.0,23,2015,01,05,20
2015-01-05 10:30:00,44.0,27,2015,01,05,21
2015-01-05 11:00:00,80.0,46,2015,01,05,22
2015-01-05 11:30:00,89.34,50,2015,01,05,23
2015-01-05 12:00:00,49.64,37,2015,01,05,24
2015-01-05 12:30:00,67.13,38,2015,01,05,25
2015-01-05 13:00:00,85.28,58,2015,01,05,26
2015-01-05 13:30:00,86.59,45,2015,01,05,27
2015-01-05 14:00:00,54.120000000000005,34,2015,01,05,28
2015-01-05 14:30:00,35.0,23,2015,01,05,29
2015-01-05 17:00:00,10.0,7,2015,01,05,34
2015-01-05 17:30:00,15.0,7,2015,01,05,35
2015-01-05 18:00:00,28.0,17,2015,01,05,36
2015-01-05 18:30:00,2.0,2,2015,01,05,37
2015-01-05 19:00:00,11.0,8,2015,01,05,38
2015-01-05 19:30:00,7.0,6,2015,01,05,39
2015-01-05 20:00:00,24.15,17,2015,01,05,40
2015-01-05 20:30:00,4.0,3,2015,01,05,41
2015-01-05 21:00:00,16.0,8,2015,01,05,42
2015-01-05 22:00:00,8.1,7,2015,01,05,44
2015-01-05 23:00:00,11.0,7,2015,01,05,46
2015-01-06 10:00:00,71.62,36,2015,01,06,20
2015-01-06 10:30:00,133.49,55,2015,01,06,21
2015-01-06 11:00:00,99.0,47,2015,01,06,22
2015-01-06 11:30:00,193.61,72,2015,01,06,23
2015-01-06 12:00:00,127.39,48,2015,01,06,24
2015-01-06 12:30:00,120.33,53,2015,01,06,25
2015-01-06 13:00:00,89.0,44,2015,01,06,26
2015-01-06 13:30:00,92.0,52,2015,01,06,27
2015-01-06 14:00:00,36.510000000000005,23,2015,01,06,28
2015-01-06 14:30:00,1.0,1,2015,01,06,29
2015-01-06 18:00:00,8.0,5,2015,01,06,36
2015-01-06 19:00:00,6.0,2,2015,01,06,38
2015-01-06 20:00:00,5.0,3,2015,01,06,40
2015-01-06 21:00:00,9.0,4,2015,01,06,42
2015-01-06 22:00:00,7.14,5,2015,01,06,44
2015-01-06 23:00:00,15.0,7,2015,01,06,46
2015-01-07 10:00:00,31.0,19,2015,01,07,20
2015-01-07 10:30:00,60.25,32,2015,01,07,21
2015-01-07 11:00:00,57.230000000000004,34,2015,01,07,22
2015-01-07 11:30:00,53.480000000000004,35,2015,01,07,23
2015-01-07 12:00:00,63.1,44,2015,01,07,24
2015-01-07 12:30:00,66.15,35,2015,01,07,25
2015-01-07 13:00:00,67.25,37,2015,01,07,26
2015-01-07 13:30:00,83.15,43,2015,01,07,27
2015-01-07 14:00:00,53.32,33,2015,01,07,28
2015-01-07 14:30:00,15.0,13,2015,01,07,29
2015-01-07 17:30:00,20.0,5,2015,01,07,35
2015-01-07 18:00:00,10.0,6,2015,01,07,36
2015-01-07 18:30:00,26.0,4,2015,01,07,37
2015-01-07 19:00:00,2.0,1,2015,01,07,38
2015-01-07 19:30:00,11.0,8,2015,01,07,39
2015-01-07 20:00:00,14.0,13,2015,01,07,40
2015-01-07 20:30:00,4.0,3,2015,01,07,41
2015-01-07 21:00:00,16.42,8,2015,01,07,42
2015-01-07 22:00:00,20.21,10,2015,01,07,44
2015-01-07 23:00:00,8.0,6,2015,01,07,46
2015-01-08 10:00:00,36.0,25,2015,01,08,20
2015-01-08 10:30:00,55.06,34,2015,01,08,21
2015-01-08 11:00:00,39.1,23,2015,01,08,22
2015-01-08 11:30:00,57.32,40,2015,01,08,23
2015-01-08 12:00:00,63.17,39,2015,01,08,24
2015-01-08 12:30:00,83.28,41,2015,01,08,25
2015-01-08 13:00:00,84.78999999999999,51,2015,01,08,26
2015-01-08 13:30:00,54.36,35,2015,01,08,27
