datetime,store,weekday,sales,products_sold,clients_that_bought,halfhour,year,month,day
2019-08-01 08:00:00,1027,Thursday,157.45,58,10,16,2019,8,1
2019-08-01 08:30:00,1027,Thursday,364.45999,130,27,17,2019,8,1
2019-08-01 09:00:00,1027,Thursday,388.29001,72,18,18,2019,8,1
2019-08-01 09:30:00,1027,Thursday,571.84003,152,25,19,2019,8,1
2019-08-01 10:00:00,1027,Thursday,250.08,103,22,20,2019,8,1
2019-08-01 10:30:00,1027,Thursday,272.92999,96,21,21,2019,8,1
2019-08-01 11:00:00,1027,Thursday,503.28,171,24,22,2019,8,1
2019-08-01 11:30:00,1027,Thursday,437.76999000000006,143,23,23,2019,8,1
2019-08-01 12:00:00,1027,Thursday,328.79001,131,29,24,2019,8,1
2019-08-01 12:30:00,1027,Thursday,319.92001,85,21,25,2019,8,1
2019-08-01 13:00:00,1027,Thursday,279.45001,94,20,26,2019,8,1
2019-08-01 13:30:00,1027,Thursday,356.23001,115,21,27,2019,8,1
2019-08-01 14:00:00,1027,Thursday,512.73999,191,27,28,2019,8,1
2019-08-01 14:30:00,1027,Thursday,410.66,123,24,29,2019,8,1
2019-08-01 15:00:00,1027,Thursday,302.20001,73,14,30,2019,8,1
2019-08-01 15:30:00,1027,Thursday,436.48001,135,23,31,2019,8,1
2019-08-01 16:00:00,1027,Thursday,367.31,139,20,32,2019,8,1
2019-08-01 16:30:00,1027,Thursday,545.69,191,27,33,2019,8,1
2019-08-01 17:00:00,1027,Thursday,438.10999,113,18,34,2019,8,1
2019-08-01 17:30:00,1027,Thursday,754.2999900000003,246,27,35,2019,8,1
2019-08-01 18:00:00,1027,Thursday,694.10999,206,35,36,2019,8,1
2019-08-01 18:30:00,1027,Thursday,832.73999,202,35,37,2019,8,1
2019-08-01 19:00:00,1027,Thursday,604.37,178,31,38,2019,8,1
2019-08-01 19:30:00,1027,Thursday,492.29999,125,21,39,2019,8,1
2019-08-01 20:00:00,1027,Thursday,371.01001,124,23,40,2019,8,1
2019-08-01 20:30:00,1027,Thursday,396.67001,111,22,41,2019,8,1
2019-08-02 08:00:00,1027,Friday,32.900002,19,7,16,2019,8,2
2019-08-02 08:30:00,1027,Friday,325.98001,104,28,17,2019,8,2
2019-08-02 09:00:00,1027,Friday,245.85001,116,19,18,2019,8,2
2019-08-02 09:30:00,1027,Friday,379.82001,110,22,19,2019,8,2
2019-08-02 10:00:00,1027,Friday,516.03998,128,24,20,2019,8,2
