datetime,store,weekday,sales,products_sold,clients_that_bought,year,month,day,halfhour
2020-05-01 08:00:00,290,Friday,168.64,35,6,2020,5,1,16
2020-05-01 08:30:00,290,Friday,943.4600199999999,244,16,2020,5,1,17
2020-05-01 09:00:00,290,Friday,1839.17,453,10,2020,5,1,18
2020-05-01 09:30:00,290,Friday,1550.1,357,26,2020,5,1,19
2020-05-01 10:00:00,290,Friday,2705.1699,659,22,2020,5,1,20
2020-05-01 10:30:00,290,Friday,2725.05,768,27,2020,5,1,21
2020-05-01 11:00:00,290,Friday,3072.8799,702,35,2020,5,1,22
2020-05-01 11:30:00,290,Friday,2268.73,652,36,2020,5,1,23
2020-05-01 12:00:00,290,Friday,2178.3999,583,44,2020,5,1,24
2020-05-01 12:30:00,290,Friday,3354.3201,1034,30,2020,5,1,25
2020-05-01 13:00:00,290,Friday,1772.22,405,34,2020,5,1,26
2020-05-01 13:30:00,290,Friday,3320.8301,875,39,2020,5,1,27
2020-05-01 14:00:00,290,Friday,1411.42,358,26,2020,5,1,28
2020-05-01 14:30:00,290,Friday,1989.03,524,39,2020,5,1,29
2020-05-01 15:00:00,290,Friday,1327.4399,320,20,2020,5,1,30
2020-05-01 15:30:00,290,Friday,1773.3101,484,25,2020,5,1,31
2020-05-01 16:00:00,290,Friday,1677.77,393,33,2020,5,1,32
2020-05-01 16:30:00,290,Friday,2025.2,534,22,2020,5,1,33
2020-05-01 17:00:00,290,Friday,3158.8401,787,28,2020,5,1,34
2020-05-01 17:30:00,290,Friday,1428.7,453,26,2020,5,1,35
2020-05-01 18:00:00,290,Friday,984.2999900000001,267,24,2020,5,1,36
2020-05-01 18:30:00,290,Friday,1164.28,310,26,2020,5,1,37
2020-05-01 19:00:00,290,Friday,1429.0699,384,29,2020,5,1,38
2020-05-01 19:30:00,290,Friday,1116.49,295,22,2020,5,1,39
2020-05-01 20:00:00,290,Friday,858.5800199999999,192,19,2020,5,1,40
2020-05-01 20:30:00,290,Friday,539.25,149,10,2020,5,1,41
2020-05-01 21:00:00,290,Friday,0.88999999,1,1,2020,5,1,42
2020-05-02 07:30:00,290,Saturday,20.719998999999998,4,1,2020,5,2,15
2020-05-02 08:00:00,290,Saturday,290.82999,96,8,2020,5,2,16
2020-05-02 08:30:00,290,Saturday,1242.74,326,12,2020,5,2,17
2020-05-02 09:00:00,290,Saturday,2036.63,608,26,2020,5,2,18
2020-05-02 09:30:00,290,Saturday,1360.85,393,18,2020,5,2,19
2020-05-02 10:00:00,290,Saturday,2430.22,691,33,2020,5,2,20
2020-05-02 10:30:00,290,Saturday,3157.26,807,38,2020,5,2,21
2020-05-02 11:00:00,290,Saturday,1990.51,566,30,2020,5,2,22
2020-05-02 11:30:00,290,Saturday,3383.3601,902,33,2020,5,2,23
2020-05-02 12:00:00,290,Saturday,3864.1001,947,40,2020,5,2,24
2020-05-02 12:30:00,290,Saturday,2403.03,608,39,2020,5,2,25
2020-05-02 13:00:00,290,Saturday,2913.97,872,44,2020,5,2,26
2020-05-02 13:30:00,290,Saturday,2182.1499,693,31,2020,5,2,27
2020-05-02 14:00:00,290,Saturday,2979.5601,862,32,2020,5,2,28
2020-05-02 14:30:00,290,Saturday,1881.1801,571,31,2020,5,2,29
2020-05-02 15:00:00,290,Saturday,2214.8999,557,34,2020,5,2,30
2020-05-02 15:30:00,290,Saturday,3004.54,820,49,2020,5,2,31
2020-05-02 16:00:00,290,Saturday,2897.8999,737,33,2020,5,2,32
2020-05-02 16:30:00,290,Saturday,1492.65,388,39,2020,5,2,33
2020-05-02 17:00:00,290,Saturday,2176.8401,587,29,2020,5,2,34
2020-05-02 17:30:00,290,Saturday,1112.75,306,25,2020,5,2,35
2020-05-02 18:00:00,290,Saturday,1566.21,369,29,2020,5,2,36
2020-05-02 18:30:00,290,Saturday,1632.15,442,19,2020,5,2,37
2020-05-02 19:00:00,290,Saturday,1117.84,262,27,2020,5,2,38
2020-05-02 19:30:00,290,Saturday,485.82000999999997,132,11,2020,5,2,39
2020-05-02 20:00:00,290,Saturday,215.53,60,7,2020,5,2,40
2020-05-02 20:30:00,290,Saturday,252.33,47,1,2020,5,2,41
2020-05-03 07:30:00,290,Sunday,12.06,4,1,2020,5,3,15
2020-05-03 08:00:00,290,Sunday,114.82,40,1,2020,5,3,16
2020-05-03 08:30:00,290,Sunday,1129.51,350,19,2020,5,3,17
2020-05-03 09:00:00,290,Sunday,912.2800300000001,210,20,2020,5,3,18
2020-05-03 09:30:00,290,Sunday,1444.04,435,23,2020,5,3,19
2020-05-03 10:00:00,290,Sunday,1682.15,651,22,2020,5,3,20
2020-05-03 10:30:00,290,Sunday,1229.66,300,15,2020,5,3,21
2020-05-03 11:00:00,290,Sunday,952.2199699999999,303,21,2020,5,3,22
2020-05-03 11:30:00,290,Sunday,1907.87,514,36,2020,5,3,23
2020-05-03 12:00:00,290,Sunday,1009.87,262,27,2020,5,3,24
2020-05-03 12:30:00,290,Sunday,1994.92,555,34,2020,5,3,25
2020-05-03 13:00:00,290,Sunday,1867.4301,501,32,2020,5,3,26
2020-05-03 13:30:00,290,Sunday,3055.23,820,37,2020,5,3,27
2020-05-03 14:00:00,290,Sunday,1066.03,320,33,2020,5,3,28
2020-05-03 14:30:00,290,Sunday,775.9500099999997,152,15,2020,5,3,29
2020-05-03 15:00:00,290,Sunday,923.85999,234,20,2020,5,3,30
2020-05-03 15:30:00,290,Sunday,959.9199800000001,282,27,2020,5,3,31
2020-05-03 16:00:00,290,Sunday,927.62,251,25,2020,5,3,32
2020-05-03 16:30:00,290,Sunday,573.78003,151,19,2020,5,3,33
2020-05-03 17:00:00,290,Sunday,310.01999,99,14,2020,5,3,34
2020-05-03 17:30:00,290,Sunday,723.06,199,15,2020,5,3,35
2020-05-03 18:00:00,290,Sunday,6.6599998,3,1,2020,5,3,36
2020-05-04 08:30:00,290,Monday,742.78998,169,12,2020,5,4,17
2020-05-04 09:00:00,290,Monday,392.20999,80,8,2020,5,4,18
2020-05-04 09:30:00,290,Monday,1896.66,537,17,2020,5,4,19
2020-05-04 10:00:00,290,Monday,469.57000999999997,137,10,2020,5,4,20
2020-05-04 10:30:00,290,Monday,1743.76,418,19,2020,5,4,21
2020-05-04 11:00:00,290,Monday,1005.94,300,17,2020,5,4,22
2020-05-04 11:30:00,290,Monday,1714.8101,484,20,2020,5,4,23
2020-05-04 12:00:00,290,Monday,1451.38,317,20,2020,5,4,24
2020-05-04 12:30:00,290,Monday,1569.5699,453,34,2020,5,4,25
2020-05-04 13:00:00,290,Monday,2143.3999,544,25,2020,5,4,26
2020-05-04 13:30:00,290,Monday,801.15997,226,18,2020,5,4,27
2020-05-04 14:00:00,290,Monday,1388.73,454,32,2020,5,4,28
2020-05-04 14:30:00,290,Monday,1708.87,454,22,2020,5,4,29
