datetime,store,weekday,sales,products_sold,clients_that_bought,halfhour,year,month,day
2020-03-04 08:30:00,274,wednesday,224,68,18,17,2020,3,4
2020-03-04 09:00:00,274,wednesday,318,87,22,18,2020,3,4
2020-03-04 09:30:00,274,wednesday,806,192,39,19,2020,3,4
2020-03-04 10:00:00,274,wednesday,1491,331,54,20,2020,3,4
2020-03-04 10:30:00,274,wednesday,695,167,29,21,2020,3,4
2020-03-04 11:00:00,274,wednesday,810,219,42,22,2020,3,4
2020-03-04 11:30:00,274,wednesday,574,137,21,23,2020,3,4
2020-03-04 12:00:00,274,wednesday,705,158,23,24,2020,3,4
2020-03-04 12:30:00,274,wednesday,918,235,42,25,2020,3,4
2020-03-04 13:00:00,274,wednesday,1142,267,55,26,2020,3,4
2020-03-04 13:30:00,274,wednesday,1294,353,55,27,2020,3,4
2020-03-04 14:00:00,274,wednesday,1018,214,36,28,2020,3,4
2020-03-04 14:30:00,274,wednesday,690,152,27,29,2020,3,4
2020-03-04 15:00:00,274,wednesday,496,107,26,30,2020,3,4
2020-03-04 15:30:00,274,wednesday,1192,289,32,31,2020,3,4
2020-03-04 16:00:00,274,wednesday,789,203,30,32,2020,3,4
2020-03-04 16:30:00,274,wednesday,1486,367,26,33,2020,3,4
2020-03-04 17:00:00,274,wednesday,1321,308,23,34,2020,3,4
2020-03-04 17:30:00,274,wednesday,2174,451,36,35,2020,3,4
2020-03-04 18:00:00,274,wednesday,1479,282,32,36,2020,3,4
2020-03-04 18:30:00,274,wednesday,1415,321,45,37,2020,3,4
2020-03-04 19:00:00,274,wednesday,2546,608,37,38,2020,3,4
2020-03-04 19:30:00,274,wednesday,1574,326,35,39,2020,3,4
2020-03-04 20:00:00,274,wednesday,1462,322,35,40,2020,3,4
2020-03-04 20:30:00,274,wednesday,1452,295,31,41,2020,3,4
2020-03-05 08:30:00,274,thursday,793,195,46,17,2020,3,5
2020-03-05 09:00:00,274,thursday,1236,285,24,18,2020,3,5
2020-03-05 09:30:00,274,thursday,1516,320,36,19,2020,3,5
2020-03-05 10:00:00,274,thursday,1033,334,38,20,2020,3,5
2020-03-05 10:30:00,274,thursday,2672,649,40,21,2020,3,5
2020-03-05 11:00:00,274,thursday,2021,443,32,22,2020,3,5
2020-03-05 11:30:00,274,thursday,2787,603,58,23,2020,3,5
2020-03-05 12:00:00,274,thursday,3930,902,53,24,2020,3,5
2020-03-05 12:30:00,274,thursday,2034,422,51,25,2020,3,5
2020-03-05 13:00:00,274,thursday,1252,311,36,26,2020,3,5
2020-03-05 13:30:00,274,thursday,2017,372,39,27,2020,3,5
2020-03-05 14:00:00,274,thursday,910,218,37,28,2020,3,5
2020-03-05 14:30:00,274,thursday,678,172,16,29,2020,3,5
2020-03-05 15:00:00,274,thursday,1848,426,46,30,2020,3,5
2020-03-05 15:30:00,274,thursday,2588,562,46,31,2020,3,5
2020-03-05 16:00:00,274,thursday,1471,317,39,32,2020,3,5
2020-03-05 16:30:00,274,thursday,2208,533,36,33,2020,3,5
2020-03-05 17:00:00,274,thursday,1883,494,50,34,2020,3,5
2020-03-05 17:30:00,274,thursday,2236,436,56,35,2020,3,5
2020-03-05 18:00:00,274,thursday,1490,367,38,36,2020,3,5
2020-03-05 18:30:00,274,thursday,1432,289,41,37,2020,3,5
2020-03-05 19:00:00,274,thursday,2396,523,31,38,2020,3,5
2020-03-05 19:30:00,274,thursday,1968,451,35,39,2020,3,5
2020-03-05 20:00:00,274,thursday,1883,420,36,40,2020,3,5
2020-03-05 20:30:00,274,thursday,1668,265,34,41,2020,3,5
2020-03-06 08:30:00,274,friday,1063,249,45,17,2020,3,6
2020-03-06 09:00:00,274,friday,1301,347,40,18,2020,3,6
2020-03-06 09:30:00,274,friday,2468,603,39,19,2020,3,6
2020-03-06 10:00:00,274,friday,2058,396,42,20,2020,3,6
2020-03-06 10:30:00,274,friday,2272,529,38,21,2020,3,6
2020-03-06 11:00:00,274,friday,1606,351,34,22,2020,3,6
2020-03-06 11:30:00,274,friday,2421,577,42,23,2020,3,6
2020-03-06 12:00:00,274,friday,2608,667,41,24,2020,3,6
2020-03-06 12:30:00,274,friday,1949,437,46,25,2020,3,6
2020-03-06 13:00:00,274,friday,1932,377,30,26,2020,3,6
2020-03-06 13:30:00,274,friday,2147,527,39,27,2020,3,6
2020-03-06 14:00:00,274,friday,710,136,14,28,2020,3,6
2020-03-06 14:30:00,274,friday,1255,294,32,29,2020,3,6
2020-03-06 15:00:00,274,friday,1137,277,30,30,2020,3,6
2020-03-06 15:30:00,274,friday,1623,339,39,31,2020,3,6
2020-03-06 16:00:00,274,friday,1862,395,43,32,2020,3,6
2020-03-06 16:30:00,274,friday,3493,692,51,33,2020,3,6
2020-03-06 17:00:00,274,friday,1664,419,46,34,2020,3,6
2020-03-06 17:30:00,274,friday,754,173,15,35,2020,3,6
2020-03-06 18:00:00,274,friday,1849,442,32,36,2020,3,6
2020-03-06 18:30:00,274,friday,1995,455,48,37,2020,3,6
