datetime,store,weekday,sales,products_sold,clients_that_bought,year,month,day
2018-01-10,274,Wednesday,-14,0,-2,2018,1,10
2018-01-19,274,Friday,-5,0,-1,2018,1,19
2018-01-22,274,Monday,-10,0,-2,2018,1,22
2018-01-26,274,Friday,-5,0,-1,2018,1,26
2018-02-02,274,Friday,-1,0,-1,2018,2,2
2018-02-05,274,Monday,-9,0,-1,2018,2,5
2018-02-09,274,Friday,-4,0,-1,2018,2,9
2018-02-12,274,Monday,-5,0,-1,2018,2,12
2018-02-13,274,Tuesday,-5,0,-1,2018,2,13
2018-02-14,274,Wednesday,-3,0,-1,2018,2,14
2018-02-15,274,Thursday,-7,0,-1,2018,2,15
2018-02-18,274,Sunday,-7,0,-1,2018,2,18
2018-02-21,274,Wednesday,-31,0,-1,2018,2,21
2018-02-22,274,Thursday,-1,0,-1,2018,2,22
2018-02-23,274,Friday,-8,0,-1,2018,2,23
2018-02-28,274,Wednesday,-20,0,-1,2018,2,28
2018-03-05,274,Monday,-16,0,-2,2018,3,5
2018-03-15,274,Thursday,-9,0,-1,2018,3,15
2018-03-17,274,Saturday,-10,0,-2,2018,3,17
2018-03-19,274,Monday,-8,0,-1,2018,3,19
2018-03-23,274,Friday,-19,0,-1,2018,3,23
2018-03-31,274,Saturday,-17,0,-2,2018,3,31
2018-04-03,274,Tuesday,-4,0,-1,2018,4,3
2018-04-11,274,Wednesday,19235,4936,801,2018,4,11
2018-04-12,274,Thursday,22083,5743,805,2018,4,12
2018-04-13,274,Friday,25424,6784,856,2018,4,13
2018-04-14,274,Saturday,22325,5576,703,2018,4,14
2018-04-15,274,Sunday,9528,2246,245,2018,4,15
2018-04-16,274,Monday,19804,5100,758,2018,4,16
2018-04-17,274,Tuesday,21409,5627,772,2018,4,17
2018-04-18,274,Wednesday,18164,4619,771,2018,4,18
2018-04-19,274,Thursday,23382,6085,829,2018,4,19
2018-04-20,274,Friday,25581,6923,866,2018,4,20
2018-04-21,274,Saturday,17184,4328,553,2018,4,21
2018-04-22,274,Sunday,10738,2569,277,2018,4,22
2018-04-23,274,Monday,19267,4784,709,2018,4,23
2018-04-24,274,Tuesday,22546,5725,800,2018,4,24
2018-04-25,274,Wednesday,17814,4775,815,2018,4,25
2018-04-26,274,Thursday,21443,5555,792,2018,4,26
2018-04-27,274,Friday,24812,6259,819,2018,4,27
2018-04-28,274,Saturday,21808,5201,680,2018,4,28
2018-04-29,274,Sunday,7945,2065,254,2018,4,29
2018-04-30,274,Monday,20597,4976,680,2018,4,30
2018-05-01,274,Tuesday,9011,2291,254,2018,5,1
2018-05-02,274,Wednesday,19479,5238,822,2018,5,2
2018-05-03,274,Thursday,23734,6587,849,2018,5,3
2018-05-04,274,Friday,24663,6750,876,2018,5,4
2018-05-05,274,Saturday,21819,5634,719,2018,5,5
2018-05-06,274,Sunday,10587,2658,286,2018,5,6
2018-05-07,274,Monday,22926,5802,793,2018,5,7
2018-05-08,274,Tuesday,22998,5674,846,2018,5,8
2018-05-09,274,Wednesday,19397,5044,826,2018,5,9
2018-05-10,274,Thursday,23977,5997,835,2018,5,10
2018-05-11,274,Friday,23252,5991,839,2018,5,11
2018-05-12,274,Saturday,24402,6202,764,2018,5,12
2018-05-13,274,Sunday,9861,2260,276,2018,5,13
2018-05-14,274,Monday,20585,5184,733,2018,5,14
2018-05-15,274,Tuesday,22916,5824,828,2018,5,15
2018-05-16,274,Wednesday,18864,4841,822,2018,5,16
2018-05-17,274,Thursday,21912,5932,820,2018,5,17
2018-05-18,274,Friday,23239,6127,876,2018,5,18
2018-05-19,274,Saturday,20457,5354,673,2018,5,19
2018-05-20,274,Sunday,9079,2318,266,2018,5,20
2018-05-21,274,Monday,19461,4825,664,2018,5,21
2018-05-22,274,Tuesday,22313,5835,831,2018,5,22
2018-05-23,274,Wednesday,19097,5056,836,2018,5,23
2018-05-24,274,Thursday,27246,7005,895,2018,5,24
2018-05-25,274,Friday,26126,6809,890,2018,5,25
2018-05-26,274,Saturday,23173,5815,701,2018,5,26
2018-05-27,274,Sunday,8860,2334,285,2018,5,27
2018-05-28,274,Monday,21077,5394,781,2018,5,28
2018-05-29,274,Tuesday,19526,4845,765,2018,5,29
2018-05-30,274,Wednesday,15129,3818,712,2018,5,30
2018-05-31,274,Thursday,13406,3233,438,2018,5,31
2018-06-01,274,Friday,20672,5021,735,2018,6,1
2018-06-02,274,Saturday,19288,4885,653,2018,6,2
2018-06-03,274,Sunday,7486,1899,210,2018,6,3
2018-06-04,274,Monday,20658,5111,744,2018,6,4
2018-06-05,274,Tuesday,20375,5112,739,2018,6,5
2018-06-06,274,Wednesday,18178,4569,816,2018,6,6
2018-06-07,274,Thursday,21284,5417,797,2018,6,7
2018-06-08,274,Friday,25190,6327,901,2018,6,8
2018-06-09,274,Saturday,22802,5743,707,2018,6,9
2018-06-10,274,Sunday,9185,2215,249,2018,6,10
2018-06-11,274,Monday,21566,5223,782,2018,6,11
2018-06-12,274,Tuesday,20704,5048,787,2018,6,12
2018-06-13,274,Wednesday,17741,4463,774,2018,6,13
2018-06-14,274,Thursday,24044,6295,881,2018,6,14
2018-06-15,274,Friday,22699,5486,786,2018,6,15
2018-06-16,274,Saturday,22507,5218,711,2018,6,16
2018-06-17,274,Sunday,12364,2974,304,2018,6,17
2018-06-18,274,Monday,22175,5503,745,2018,6,18
2018-06-19,274,Tuesday,22266,5419,828,2018,6,19
2018-06-20,274,Wednesday,20228,5084,893,2018,6,20
2018-06-21,274,Thursday,24008,6230,906,2018,6,21
2018-06-22,274,Friday,20430,5139,665,2018,6,22
2018-06-23,274,Saturday,22800,5590,730,2018,6,23
2018-06-24,274,Sunday,8931,2257,250,2018,6,24
2018-06-25,274,Monday,23009,5626,854,2018,6,25
2018-06-26,274,Tuesday,23105,5806,852,2018,6,26
2018-06-27,274,Wednesday,20095,5134,804,2018,6,27
2018-06-28,274,Thursday,25203,5972,821,2018,6,28
2018-06-29,274,Friday,25165,6384,874,2018,6,29
2018-06-30,274,Saturday,22460,5672,748,2018,6,30
2018-07-01,274,Sunday,8481,2078,250,2018,7,1
2018-07-02,274,Monday,22172,5211,731,2018,7,2
2018-07-03,274,Tuesday,20312,5077,773,2018,7,3
2018-07-04,274,Wednesday,20377,5070,829,2018,7,4
2018-07-05,274,Thursday,24200,6208,823,2018,7,5
2018-07-06,274,Friday,23250,6432,776,2018,7,6
2018-07-07,274,Saturday,21182,5375,669,2018,7,7
2018-07-08,274,Sunday,8768,2146,259,2018,7,8
2018-07-09,274,Monday,12186,3081,397,2018,7,9
2018-07-10,274,Tuesday,22971,5600,803,2018,7,10
2018-07-11,274,Wednesday,17650,4420,752,2018,7,11
2018-07-12,274,Thursday,20017,5170,786,2018,7,12
2018-07-13,274,Friday,25889,6445,855,2018,7,13
2018-07-14,274,Saturday,23684,5847,753,2018,7,14
2018-07-15,274,Sunday,10069,2471,265,2018,7,15
2018-07-16,274,Monday,22613,5354,800,2018,7,16
2018-07-17,274,Tuesday,22476,5579,822,2018,7,17
2018-07-18,274,Wednesday,20073,5095,815,2018,7,18
2018-07-19,274,Thursday,22103,5845,859,2018,7,19
2018-07-20,274,Friday,25305,6667,894,2018,7,20
2018-07-21,274,Saturday,19879,5023,700,2018,7,21
2018-07-22,274,Sunday,10498,2635,276,2018,7,22
2018-07-23,274,Monday,24018,5711,853,2018,7,23
2018-07-24,274,Tuesday,23132,5788,865,2018,7,24
2018-07-25,274,Wednesday,20838,5426,904,2018,7,25
2018-07-26,274,Thursday,24879,6409,898,2018,7,26
2018-07-27,274,Friday,24284,6030,861,2018,7,27
2018-07-28,274,Saturday,22516,5770,746,2018,7,28
