datetime,store,weekday,sales,products_sold,clients_that_bought,year,month,day
2020-03-18,274,wednesday,64870,13822,1032,2020,3,18
2020-03-19,274,thursday,81285,16790,1051,2020,3,19
2020-03-20,274,friday,68142,14437,847,2020,3,20
2020-03-21,274,saturday,54808,11494,635,2020,3,21
2020-03-22,274,sunday,38219,8125,473,2020,3,22
2020-03-23,274,monday,31762,6674,506,2020,3,23
2020-03-24,274,tuesday,30080,6525,457,2020,3,24
2020-03-25,274,wednesday,23920,5364,546,2020,3,25
2020-03-26,274,thursday,29322,6318,509,2020,3,26
2020-03-27,274,friday,34155,7430,533,2020,3,27
2020-03-28,274,saturday,39480,8318,523,2020,3,28
2020-03-29,274,sunday,24213,5290,359,2020,3,29
2020-03-30,274,monday,28363,5965,482,2020,3,30
2020-03-31,274,tuesday,32841,6713,502,2020,3,31
2020-04-01,274,wednesday,25142,5528,538,2020,4,1
2020-04-02,274,thursday,39483,8023,541,2020,4,2
2020-04-03,274,friday,40994,8620,577,2020,4,3
2020-04-04,274,saturday,42884,8912,560,2020,4,4
2020-04-05,274,sunday,30583,6468,444,2020,4,5
2020-04-06,274,monday,28821,6310,467,2020,4,6
2020-04-07,274,tuesday,36655,8299,501,2020,4,7
2020-04-08,274,wednesday,30466,6183,568,2020,4,8
2020-04-09,274,thursday,49861,10344,645,2020,4,9
2020-04-10,274,friday,33821,7121,491,2020,4,10
2020-04-11,274,saturday,38978,8281,548,2020,4,11
2020-04-12,274,sunday,23707,5047,378,2020,4,12
2020-04-13,274,monday,26636,5545,458,2020,4,13
2020-04-14,274,tuesday,37335,8024,531,2020,4,14
2020-04-15,274,wednesday,28209,6065,583,2020,4,15
2020-04-16,274,thursday,40542,9070,575,2020,4,16
2020-04-17,274,friday,43398,9078,589,2020,4,17
2020-04-18,274,saturday,48504,10129,636,2020,4,18
2020-04-19,274,sunday,36182,7458,474,2020,4,19
2020-04-20,274,monday,30865,6234,511,2020,4,20
2020-04-21,274,tuesday,28571,6088,466,2020,4,21
2020-04-22,274,wednesday,24579,5349,547,2020,4,22
2020-04-23,274,thursday,43122,9189,617,2020,4,23
2020-04-24,274,friday,43615,9281,593,2020,4,24
2020-04-25,274,saturday,47490,10200,635,2020,4,25
2020-04-26,274,sunday,35178,7324,506,2020,4,26
2020-04-27,274,monday,27536,5688,493,2020,4,27
2020-04-28,274,tuesday,32144,7014,517,2020,4,28
2020-04-29,274,wednesday,32120,6647,617,2020,4,29
2020-04-30,274,thursday,44287,9531,644,2020,4,30
2020-05-01,274,friday,46706,9910,594,2020,5,1
2020-05-02,274,saturday,48160,10803,625,2020,5,2
2020-05-03,274,sunday,27332,5716,403,2020,5,3
2020-05-04,274,monday,30006,6421,522,2020,5,4
2020-05-05,274,tuesday,34397,7324,534,2020,5,5
2020-05-06,274,wednesday,25577,5588,559,2020,5,6
2020-05-07,274,thursday,40043,8413,580,2020,5,7
2020-05-08,274,friday,45998,9800,636,2020,5,8
2020-05-09,274,saturday,52094,10950,632,2020,5,9
2020-05-10,274,sunday,24289,5031,387,2020,5,10
2020-05-11,274,monday,25644,5374,464,2020,5,11
2020-05-12,274,tuesday,34348,7331,552,2020,5,12
2020-05-13,274,wednesday,23212,5234,584,2020,5,13
2020-05-14,274,thursday,34578,7488,543,2020,5,14
2020-05-15,274,friday,44121,9479,635,2020,5,15
2020-05-16,274,saturday,48677,9733,613,2020,5,16
2020-05-17,274,sunday,31032,6649,437,2020,5,17
2020-05-18,274,monday,29100,6066,500,2020,5,18
2020-05-19,274,tuesday,35409,7618,551,2020,5,19
2020-05-20,274,wednesday,27931,6227,578,2020,5,20
2020-05-21,274,thursday,41984,8442,573,2020,5,21
2020-05-22,274,friday,36503,7658,602,2020,5,22
2020-05-23,274,saturday,42930,9034,579,2020,5,23
2020-05-24,274,sunday,28832,6093,413,2020,5,24
2020-05-25,274,monday,31299,6124,445,2020,5,25
2020-05-26,274,tuesday,33133,6866,535,2020,5,26
