	ds	y
0	2019-10-25 09:30:00	3
1	2019-10-25 10:00:00	7365
2	2019-10-25 10:30:00	142
3	2019-10-25 11:00:00	264
4	2019-10-25 11:30:00	313
5	2019-10-25 12:00:00	208
6	2019-10-25 12:30:00	296
7	2019-10-25 13:00:00	227
8	2019-10-25 13:30:00	195
9	2019-10-25 14:00:00	109
10	2019-10-25 14:30:00	83
11	2019-10-25 15:00:00	0
12	2019-10-25 15:30:00	0
13	2019-10-25 16:00:00	0
14	2019-10-25 16:30:00	33
15	2019-10-25 17:00:00	44
16	2019-10-25 17:30:00	107
17	2019-10-25 18:00:00	161
18	2019-10-25 18:30:00	136
19	2019-10-25 19:00:00	197
20	2019-10-25 19:30:00	188
21	2019-10-25 20:00:00	135
22	2019-10-25 20:30:00	31
23	2019-10-25 21:00:00	0
24	2019-10-25 21:30:00	0
25	2019-10-25 22:00:00	0
26	2019-10-25 22:30:00	0
27	2019-10-25 23:00:00	0
28	2019-10-25 23:30:00	0
29	2019-10-26 00:00:00	0
30	2019-10-26 00:30:00	0
31	2019-10-26 01:00:00	0
32	2019-10-26 01:30:00	0
33	2019-10-26 02:00:00	0
34	2019-10-26 02:30:00	0
35	2019-10-26 03:00:00	0
36	2019-10-26 03:30:00	0
37	2019-10-26 04:00:00	0
38	2019-10-26 04:30:00	0
39	2019-10-26 05:00:00	0
40	2019-10-26 05:30:00	0
41	2019-10-26 06:00:00	0
42	2019-10-26 06:30:00	0
43	2019-10-26 07:00:00	0
44	2019-10-26 07:30:00	0
45	2019-10-26 08:00:00	0
46	2019-10-26 08:30:00	0
47	2019-10-26 09:00:00	0
48	2019-10-26 09:30:00	11
49	2019-10-26 10:00:00	87
50	2019-10-26 10:30:00	76
51	2019-10-26 11:00:00	121
52	2019-10-26 11:30:00	149
53	2019-10-26 12:00:00	256
54	2019-10-26 12:30:00	269
55	2019-10-26 13:00:00	261
56	2019-10-26 13:30:00	488
57	2019-10-26 14:00:00	112
58	2019-10-26 14:30:00	59
59	2019-10-26 15:00:00	0
60	2019-10-26 15:30:00	0
61	2019-10-26 16:00:00	0
62	2019-10-26 16:30:00	13
63	2019-10-26 17:00:00	9
64	2019-10-26 17:30:00	59
65	2019-10-26 18:00:00	82
66	2019-10-26 18:30:00	83
67	2019-10-26 19:00:00	99
68	2019-10-26 19:30:00	99
69	2019-10-26 20:00:00	81
70	2019-10-26 20:30:00	0
71	2019-10-26 21:00:00	0
72	2019-10-26 21:30:00	0
73	2019-10-26 22:00:00	0
74	2019-10-26 22:30:00	0
75	2019-10-26 23:00:00	0
76	2019-10-26 23:30:00	0
77	2019-10-27 00:00:00	0
78	2019-10-27 00:30:00	0
79	2019-10-27 01:00:00	0
80	2019-10-27 01:30:00	0
81	2019-10-27 02:00:00	0
82	2019-10-27 02:30:00	0
83	2019-10-27 03:00:00	0
84	2019-10-27 03:30:00	0
85	2019-10-27 04:00:00	0
86	2019-10-27 04:30:00	0
87	2019-10-27 05:00:00	0
88	2019-10-27 05:30:00	0
89	2019-10-27 06:00:00	0
90	2019-10-27 06:30:00	0
91	2019-10-27 07:00:00	0
92	2019-10-27 07:30:00	0
93	2019-10-27 08:00:00	0
94	2019-10-27 08:30:00	0
95	2019-10-27 09:00:00	0
96	2019-10-27 09:30:00	0
97	2019-10-27 10:00:00	0
98	2019-10-27 10:30:00	0
99	2019-10-27 11:00:00	0
100	2019-10-27 11:30:00	0
101	2019-10-27 12:00:00	0
102	2019-10-27 12:30:00	0
103	2019-10-27 13:00:00	0
104	2019-10-27 13:30:00	0
105	2019-10-27 14:00:00	0
106	2019-10-27 14:30:00	0
107	2019-10-27 15:00:00	0
108	2019-10-27 15:30:00	0
109	2019-10-27 16:00:00	0
110	2019-10-27 16:30:00	0
111	2019-10-27 17:00:00	0
112	2019-10-27 17:30:00	0
113	2019-10-27 18:00:00	0
114	2019-10-27 18:30:00	0
115	2019-10-27 19:00:00	0
116	2019-10-27 19:30:00	0
117	2019-10-27 20:00:00	0
118	2019-10-27 20:30:00	0
119	2019-10-27 21:00:00	0
120	2019-10-27 21:30:00	0
121	2019-10-27 22:00:00	0
122	2019-10-27 22:30:00	0
123	2019-10-27 23:00:00	0
124	2019-10-27 23:30:00	0
125	2019-10-28 00:00:00	0
