"id_seq","analysis_moment","store","df_size","ApEn","fcst_period","freq_hours","work_hours","mse_outlier","rmse_outlier","mae_outlier","mape_outlier","mse_without_outlier","rmse_without_outlier","mae_without_outlier","mape_without_outlier","model_outlier_file_name","model_without_outlier_file_name"
1,2021-08-16 14:52:16,60,101578,0.572054552961238,"30",[],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",62522.188,250.044,187.732,101.209,13382.284,115.682,90.062,43.976,"60_2021_08_16_14_51_23_441339.json","60_2021_08_16_14_51_55_027893.json"
2,2021-08-16 14:53:04,60,101578,0.572054552961238,"7",[],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",9260.516,96.232,71.96,60.999,6336.847,79.604,63.445,61.363,"60_2021_08_16_14_52_22_909512.json","60_2021_08_16_14_52_46_907663.json"
3,2021-08-16 15:05:42,60,101578,0.572054552961238,"47297",[],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",11692.522,108.132,70.382,21949870562451.402,5047.867,71.048,54.943,58.469,"60_2021_08_16_15_00_43_103561.json","60_2021_08_16_15_03_58_465151.json"
4,2021-08-16 15:06:53,74,6841,0.804098673221612,"30",[ 9 10 11 12 13 14 15 16 17 18 19 20 21],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",15454.497,124.316,86.474,53.733,15012.504,122.526,107.675,213.262,"74_2021_08_16_15_05_56_203216.json","74_2021_08_16_15_06_27_344420.json"
5,2021-08-16 15:07:36,74,6841,0.804098673221612,"7",[ 9 10 11 12 13 14 15 16 17 18 19 20 21],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",13587.289,116.565,78.614,51.259,5043.306,71.016,59.035,125.151,"74_2021_08_16_15_06_59_099003.json","74_2021_08_16_15_07_19_257831.json"
6,2021-08-16 15:08:55,74,6841,0.804098673221612,"2850",[ 9 10 11 12 13 14 15 16 17 18 19 20 21],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",3639.675,60.33,38.283,13606051482179.531,1589.026,39.863,31.225,50.845,"74_2021_08_16_15_08_00_915898.json","74_2021_08_16_15_08_31_162999.json"
7,2021-08-16 15:10:01,48,70053,0.770429319931258,"30",[10 11 12 13 14],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",15565.473,124.762,94.168,45.855,296054.988,544.109,455.806,721.597,"48_2021_08_16_15_09_14_588140.json","48_2021_08_16_15_09_46_199802.json"
8,2021-08-16 15:10:42,48,70053,0.770429319931258,"7",[10 11 12 13 14],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",10519.915,102.567,84.942,148.262,2512.489,50.125,39.779,51.395,"48_2021_08_16_15_10_07_208742.json","48_2021_08_16_15_10_28_295162.json"
9,2021-08-16 15:15:28,48,70053,0.770429319931258,"24383",[10 11 12 13 14],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",65745.492,256.409,49.627,19340957965931.48,3946.613,62.822,52.314,106.25,"48_2021_08_16_15_13_39_310940.json","48_2021_08_16_15_14_43_285526.json"
10,2021-08-16 15:16:14,49,101544,0.779851225540238,"30",[],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",84249.853,290.258,227.137,55.284,9505.314,97.495,78.32,31.718,"49_2021_08_16_15_15_43_048317.json","49_2021_08_16_15_16_01_205031.json"
11,2021-08-16 15:16:43,49,101544,0.779851225540238,"7",[],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",627874.881,792.386,281.378,179.774,13724.072,117.15,93.088,218.259,"49_2021_08_16_15_16_18_412555.json","49_2021_08_16_15_16_32_745089.json"
12,2021-08-16 15:25:01,49,101544,0.779851225540238,"43043",[],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",14869.804,121.942,85.562,40294229588869.88,67604.506,260.009,225.806,234.14,"49_2021_08_16_15_22_17_363065.json","49_2021_08_16_15_24_07_679778.json"
13,2021-08-16 15:25:49,61,101544,0.843418453499241,"30",[ 9 10 11 12 13 14 15 16 17 18 19 20],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",128035.494,357.82,278.958,58.374,65371.25,255.678,210.498,55.774,"61_2021_08_16_15_25_15_378231.json","61_2021_08_16_15_25_36_851069.json"
14,2021-08-16 15:26:19,61,101544,0.843418453499241,"7",[ 9 10 11 12 13 14 15 16 17 18 19 20],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",11335191.217,3366.778,731.889,59.763,24982.333,158.058,132.196,73.041,"61_2021_08_16_15_25_54_293923.json","61_2021_08_16_15_26_09_048353.json"
15,2021-08-16 15:33:52,61,101544,0.843418453499241,"44829",[ 9 10 11 12 13 14 15 16 17 18 19 20],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",26412.026,162.518,112.318,38883399463934.05,11062.732,105.18,81.36,64.099,"61_2021_08_16_15_30_38_715119.json","61_2021_08_16_15_32_36_244963.json"
