	changepoint_prior_scale	seasonality_prior_scale	holidays_prior_scale	rmse	mape	mae
0	0.001	0.01	0.01	54.358	20.516	43.703
1	0.001	0.01	0.1	54.358	20.516	43.703
2	0.001	0.01	1.0	54.358	20.516	43.703
3	0.001	0.01	10.0	54.358	20.516	43.703
4	0.001	0.1	0.01	56.114	20.084	43.947
5	0.001	0.1	0.1	56.114	20.084	43.947
6	0.001	0.1	1.0	56.114	20.084	43.947
7	0.001	0.1	10.0	56.114	20.084	43.947
8	0.001	1.0	0.01	56.851	20.486	44.611
9	0.001	1.0	0.1	56.851	20.486	44.611
10	0.001	1.0	1.0	56.851	20.486	44.611
11	0.001	1.0	10.0	56.851	20.486	44.611
12	0.001	10.0	0.01	56.874	20.451	44.535
13	0.001	10.0	0.1	56.874	20.451	44.535
14	0.001	10.0	1.0	56.874	20.451	44.535
15	0.001	10.0	10.0	56.874	20.451	44.535
16	0.01	0.01	0.01	51.995	19.033	41.59
17	0.01	0.01	0.1	51.995	19.033	41.59
18	0.01	0.01	1.0	51.995	19.033	41.59
19	0.01	0.01	10.0	51.995	19.033	41.59
20	0.01	0.1	0.01	54.627	19.333	42.594
21	0.01	0.1	0.1	54.627	19.333	42.594
22	0.01	0.1	1.0	54.627	19.333	42.594
23	0.01	0.1	10.0	54.627	19.333	42.594
24	0.01	1.0	0.01	54.624	19.31	42.552
25	0.01	1.0	0.1	54.624	19.31	42.552
26	0.01	1.0	1.0	54.624	19.31	42.552
27	0.01	1.0	10.0	54.624	19.31	42.552
28	0.01	10.0	0.01	54.778	19.383	42.7
29	0.01	10.0	0.1	54.778	19.383	42.7
30	0.01	10.0	1.0	54.778	19.383	42.7
31	0.01	10.0	10.0	54.778	19.383	42.7
32	0.1	0.01	0.01	51.488	18.534	40.957
33	0.1	0.01	0.1	51.488	18.534	40.957
34	0.1	0.01	1.0	51.488	18.534	40.957
35	0.1	0.01	10.0	51.488	18.534	40.957
36	0.1	0.1	0.01	54.317	19.238	42.44
37	0.1	0.1	0.1	54.317	19.238	42.44
38	0.1	0.1	1.0	54.317	19.238	42.44
39	0.1	0.1	10.0	54.317	19.238	42.44
40	0.1	1.0	0.01	54.489	19.371	42.611
41	0.1	1.0	0.1	54.489	19.371	42.611
42	0.1	1.0	1.0	54.489	19.371	42.611
43	0.1	1.0	10.0	54.489	19.371	42.611
44	0.1	10.0	0.01	54.048	19.045	42.152
45	0.1	10.0	0.1	54.048	19.045	42.152
46	0.1	10.0	1.0	54.048	19.045	42.152
47	0.1	10.0	10.0	54.048	19.045	42.152
48	0.5	0.01	0.01	51.731	18.793	41.283
49	0.5	0.01	0.1	51.731	18.793	41.283
50	0.5	0.01	1.0	51.731	18.793	41.283
51	0.5	0.01	10.0	51.731	18.793	41.283
52	0.5	0.1	0.01	54.569	19.367	42.659
53	0.5	0.1	0.1	54.569	19.367	42.659
54	0.5	0.1	1.0	54.569	19.367	42.659
55	0.5	0.1	10.0	54.569	19.367	42.659
56	0.5	1.0	0.01	54.43	19.275	42.484
57	0.5	1.0	0.1	54.43	19.275	42.484
58	0.5	1.0	1.0	54.43	19.275	42.484
59	0.5	1.0	10.0	54.43	19.275	42.484
60	0.5	10.0	0.01	54.246	19.134	42.3
61	0.5	10.0	0.1	54.246	19.134	42.3
62	0.5	10.0	1.0	54.246	19.134	42.3
63	0.5	10.0	10.0	54.246	19.134	42.3
