	changepoint_prior_scale	seasonality_prior_scale	holidays_prior_scale	rmse	mape	mae
0	0.001	0.01	0.01	17.215	30.208	13.621
1	0.001	0.01	0.1	17.215	30.208	13.621
2	0.001	0.01	1.0	17.215	30.208	13.621
3	0.001	0.01	10.0	17.215	30.208	13.621
4	0.001	0.1	0.01	17.888	32.508	14.283
5	0.001	0.1	0.1	17.888	32.508	14.283
6	0.001	0.1	1.0	17.888	32.508	14.283
7	0.001	0.1	10.0	17.888	32.508	14.283
8	0.001	1.0	0.01	17.448	29.757	13.728
9	0.001	1.0	0.1	17.448	29.757	13.728
10	0.001	1.0	1.0	17.448	29.757	13.728
11	0.001	1.0	10.0	17.448	29.757	13.728
12	0.001	10.0	0.01	17.557	29.789	13.81
13	0.001	10.0	0.1	17.557	29.789	13.81
14	0.001	10.0	1.0	17.557	29.789	13.81
15	0.001	10.0	10.0	17.557	29.789	13.81
16	0.01	0.01	0.01	17.353	30.828	13.78
17	0.01	0.01	0.1	17.353	30.828	13.78
18	0.01	0.01	1.0	17.353	30.828	13.78
19	0.01	0.01	10.0	17.353	30.828	13.78
20	0.01	0.1	0.01	17.107	29.089	13.537
21	0.01	0.1	0.1	17.107	29.089	13.537
22	0.01	0.1	1.0	17.107	29.089	13.537
23	0.01	0.1	10.0	17.107	29.089	13.537
24	0.01	1.0	0.01	16.984	28.444	13.433
25	0.01	1.0	0.1	16.984	28.444	13.433
26	0.01	1.0	1.0	16.984	28.444	13.433
27	0.01	1.0	10.0	16.984	28.444	13.433
28	0.01	10.0	0.01	17.102	28.999	13.522
29	0.01	10.0	0.1	17.102	28.999	13.522
30	0.01	10.0	1.0	17.102	28.999	13.522
31	0.01	10.0	10.0	17.102	28.999	13.522
32	0.1	0.01	0.01	17.503	32.003	13.951
33	0.1	0.01	0.1	17.503	32.003	13.951
34	0.1	0.01	1.0	17.503	32.003	13.951
35	0.1	0.01	10.0	17.503	32.003	13.951
36	0.1	0.1	0.01	17.251	30.221	13.759
37	0.1	0.1	0.1	17.251	30.221	13.759
38	0.1	0.1	1.0	17.251	30.221	13.759
39	0.1	0.1	10.0	17.251	30.221	13.759
40	0.1	1.0	0.01	17.024	29.301	13.489
41	0.1	1.0	0.1	17.024	29.301	13.489
42	0.1	1.0	1.0	17.024	29.301	13.489
43	0.1	1.0	10.0	17.024	29.301	13.489
44	0.1	10.0	0.01	16.991	29.165	13.48
45	0.1	10.0	0.1	16.991	29.165	13.48
46	0.1	10.0	1.0	16.991	29.165	13.48
47	0.1	10.0	10.0	16.991	29.165	13.48
48	0.5	0.01	0.01	17.555	32.352	14.024
49	0.5	0.01	0.1	17.555	32.352	14.024
50	0.5	0.01	1.0	17.555	32.352	14.024
51	0.5	0.01	10.0	17.555	32.352	14.024
52	0.5	0.1	0.01	17.288	30.506	13.825
53	0.5	0.1	0.1	17.288	30.506	13.825
54	0.5	0.1	1.0	17.288	30.506	13.825
55	0.5	0.1	10.0	17.288	30.506	13.825
56	0.5	1.0	0.01	17.084	29.786	13.556
57	0.5	1.0	0.1	17.084	29.786	13.556
58	0.5	1.0	1.0	17.084	29.786	13.556
59	0.5	1.0	10.0	17.084	29.786	13.556
60	0.5	10.0	0.01	17.042	29.752	13.534
61	0.5	10.0	0.1	17.042	29.752	13.534
62	0.5	10.0	1.0	17.042	29.752	13.534
63	0.5	10.0	10.0	17.042	29.752	13.534
