	changepoint_prior_scale	seasonality_prior_scale	holidays_prior_scale	rmse	mape	mae	horizon
0	0.001	0.01	0.01	68.784	34.574	54.56	7 days
1	0.001	0.01	0.1	68.784	34.574	54.56	7 days
2	0.001	0.01	1.0	68.784	34.574	54.56	7 days
3	0.001	0.01	10.0	68.784	34.574	54.56	7 days
4	0.001	0.1	0.01	66.268	33.31	52.784	7 days
5	0.001	0.1	0.1	66.268	33.31	52.784	7 days
6	0.001	0.1	1.0	66.268	33.31	52.784	7 days
7	0.001	0.1	10.0	66.268	33.31	52.784	7 days
8	0.001	1.0	0.01	68.872	35.461	55.377	7 days
9	0.001	1.0	0.1	68.872	35.461	55.377	7 days
10	0.001	1.0	1.0	68.872	35.461	55.377	7 days
11	0.001	1.0	10.0	68.872	35.461	55.377	7 days
12	0.001	10.0	0.01	69.127	35.661	55.641	7 days
13	0.001	10.0	0.1	69.127	35.661	55.641	7 days
14	0.001	10.0	1.0	69.127	35.661	55.641	7 days
15	0.001	10.0	10.0	69.127	35.661	55.641	7 days
16	0.01	0.01	0.01	66.441	31.309	52.13	7 days
17	0.01	0.01	0.1	66.441	31.309	52.13	7 days
18	0.01	0.01	1.0	66.441	31.309	52.13	7 days
19	0.01	0.01	10.0	66.441	31.309	52.13	7 days
20	0.01	0.1	0.01	63.764	30.294	50.311	7 days
21	0.01	0.1	0.1	63.764	30.294	50.311	7 days
22	0.01	0.1	1.0	63.764	30.294	50.311	7 days
23	0.01	0.1	10.0	63.764	30.294	50.311	7 days
24	0.01	1.0	0.01	63.735	30.253	50.325	7 days
25	0.01	1.0	0.1	63.735	30.253	50.325	7 days
26	0.01	1.0	1.0	63.735	30.253	50.325	7 days
27	0.01	1.0	10.0	63.735	30.253	50.325	7 days
28	0.01	10.0	0.01	63.719	30.233	50.283	7 days
29	0.01	10.0	0.1	63.719	30.233	50.283	7 days
30	0.01	10.0	1.0	63.719	30.233	50.283	7 days
31	0.01	10.0	10.0	63.719	30.233	50.283	7 days
32	0.1	0.01	0.01	65.652	29.628	51.078	7 days
33	0.1	0.01	0.1	65.652	29.628	51.078	7 days
34	0.1	0.01	1.0	65.652	29.628	51.078	7 days
35	0.1	0.01	10.0	65.652	29.628	51.078	7 days
36	0.1	0.1	0.01	62.905	29.086	49.906	7 days
37	0.1	0.1	0.1	62.905	29.086	49.906	7 days
38	0.1	0.1	1.0	62.905	29.086	49.906	7 days
39	0.1	0.1	10.0	62.905	29.086	49.906	7 days
40	0.1	1.0	0.01	62.82	29.076	49.773	7 days
41	0.1	1.0	0.1	62.82	29.076	49.773	7 days
42	0.1	1.0	1.0	62.82	29.076	49.773	7 days
43	0.1	1.0	10.0	62.82	29.076	49.773	7 days
44	0.1	10.0	0.01	62.879	29.097	49.848	7 days
45	0.1	10.0	0.1	62.879	29.097	49.848	7 days
46	0.1	10.0	1.0	62.879	29.097	49.848	7 days
47	0.1	10.0	10.0	62.879	29.097	49.848	7 days
48	0.5	0.01	0.01	65.618	29.524	51.061	7 days
49	0.5	0.01	0.1	65.618	29.524	51.061	7 days
50	0.5	0.01	1.0	65.618	29.524	51.061	7 days
51	0.5	0.01	10.0	65.618	29.524	51.061	7 days
52	0.5	0.1	0.01	62.868	28.982	49.914	7 days
53	0.5	0.1	0.1	62.868	28.982	49.914	7 days
54	0.5	0.1	1.0	62.868	28.982	49.914	7 days
55	0.5	0.1	10.0	62.868	28.982	49.914	7 days
56	0.5	1.0	0.01	62.649	28.869	49.625	7 days
57	0.5	1.0	0.1	62.649	28.869	49.625	7 days
58	0.5	1.0	1.0	62.649	28.869	49.625	7 days
59	0.5	1.0	10.0	62.649	28.869	49.625	7 days
60	0.5	10.0	0.01	62.455	28.709	49.334	7 days
61	0.5	10.0	0.1	62.455	28.709	49.334	7 days
62	0.5	10.0	1.0	62.455	28.709	49.334	7 days
63	0.5	10.0	10.0	62.455	28.709	49.334	7 days
