,ds,y,store
0,2018-04-12 09:00:00,10,4956
1,2018-04-12 09:30:00,32,4956
2,2018-04-12 10:00:00,64984,4956
3,2018-04-12 10:30:00,44,4956
4,2018-04-12 11:00:00,84,4956
5,2018-04-12 11:30:00,48,4956
6,2018-04-12 12:00:00,108,4956
7,2018-04-12 12:30:00,71,4956
8,2018-04-12 13:00:00,78,4956
9,2018-04-12 13:30:00,94,4956
10,2018-04-12 14:00:00,59,4956
11,2018-04-12 14:30:00,34,4956
12,2018-04-12 15:00:00,38,4956
13,2018-04-12 15:30:00,33,4956
14,2018-04-12 16:00:00,22,4956
15,2018-04-12 16:30:00,42,4956
16,2018-04-12 17:00:00,43,4956
17,2018-04-12 17:30:00,37,4956
18,2018-04-12 18:00:00,149,4956
19,2018-04-12 18:30:00,59,4956
20,2018-04-12 19:00:00,116,4956
21,2018-04-12 19:30:00,161,4956
22,2018-04-12 20:00:00,106,4956
23,2018-04-12 20:30:00,113748,4956
24,2018-04-12 21:00:00,18,4956
25,2018-04-12 21:30:00,47,4956
26,2018-04-12 22:00:00,-8,4956
27,2018-04-12 22:30:00,0,4956
28,2018-04-12 23:00:00,0,4956
29,2018-04-12 23:30:00,0,4956
30,2018-04-13 00:00:00,0,4956
31,2018-04-13 00:30:00,0,4956
32,2018-04-13 01:00:00,0,4956
33,2018-04-13 01:30:00,0,4956
34,2018-04-13 02:00:00,0,4956
35,2018-04-13 02:30:00,0,4956
36,2018-04-13 03:00:00,0,4956
37,2018-04-13 03:30:00,0,4956
38,2018-04-13 04:00:00,0,4956
39,2018-04-13 04:30:00,0,4956
40,2018-04-13 05:00:00,0,4956
41,2018-04-13 05:30:00,0,4956
42,2018-04-13 06:00:00,0,4956
43,2018-04-13 06:30:00,0,4956
44,2018-04-13 07:00:00,0,4956
45,2018-04-13 07:30:00,0,4956
46,2018-04-13 08:00:00,0,4956
47,2018-04-13 08:30:00,0,4956
48,2018-04-13 09:00:00,5,4956
49,2018-04-13 09:30:00,24,4956
50,2018-04-13 10:00:00,21,4956
51,2018-04-13 10:30:00,19,4956
52,2018-04-13 11:00:00,75,4956
53,2018-04-13 11:30:00,57,4956
54,2018-04-13 12:00:00,88,4956
55,2018-04-13 12:30:00,81,4956
56,2018-04-13 13:00:00,93,4956
57,2018-04-13 13:30:00,49,4956
58,2018-04-13 14:00:00,105,4956
59,2018-04-13 14:30:00,67,4956
60,2018-04-13 15:00:00,59,4956
61,2018-04-13 15:30:00,33,4956
62,2018-04-13 16:00:00,57,4956
63,2018-04-13 16:30:00,5,4956
64,2018-04-13 17:00:00,5,4956
