Month,Day,Hour,TicketsPrev,Persons
11,1,9,54,3
11,1,10,71,4
11,1,11,101,4
11,1,12,129,4
11,1,13,125,4
11,1,14,104,3
11,1,15,43,2
11,1,16,36,3
11,1,17,48,2
11,1,18,75,4
11,1,19,79,4
11,1,20,72,3
11,1,21,25,2
11,1,22,0,0
11,1,23,0,0
11,2,0,0,0
11,2,1,0,0
11,2,2,0,0
11,2,3,0,0
11,2,4,0,0
11,2,5,0,0
11,2,6,0,0
11,2,7,0,0
11,2,8,0,0
11,2,9,61,3
11,2,10,74,3
11,2,11,106,4
11,2,12,125,4
11,2,13,119,4
11,2,14,101,4
11,2,15,42,2
11,2,16,38,2
11,2,17,52,2
11,2,18,71,3
11,2,19,81,3
11,2,20,81,4
11,2,21,20,1
11,2,22,0,0
11,2,23,0,0
11,3,0,0,0
11,3,1,0,0
11,3,2,0,0
11,3,3,0,0
11,3,4,0,0
11,3,5,0,0
11,3,6,0,0
11,3,7,0,0
11,3,8,0,0
11,3,9,49,2
11,3,10,67,3
11,3,11,99,4
11,3,12,132,4
11,3,13,131,4
11,3,14,103,3
11,3,15,43,2
11,3,16,30,1
11,3,17,50,2
11,3,18,72,3
11,3,19,81,4
11,3,20,74,3
11,3,21,25,2
11,3,22,0,0
11,3,23,0,0
11,4,0,0,0
11,4,1,0,0
11,4,2,0,0
11,4,3,0,0
11,4,4,0,0
11,4,5,0,0
11,4,6,0,0
11,4,7,0,0
11,4,8,0,0
11,4,9,54,3
11,4,10,80,4
11,4,11,99,4
11,4,12,123,4
11,4,13,129,4
11,4,14,89,3
11,4,15,43,2
11,4,16,35,2
11,4,17,49,2
11,4,18,65,3
11,4,19,74,4
11,4,20,72,3
11,4,21,25,2
11,4,22,0,0
11,4,23,0,0
11,5,0,0,0
11,5,1,0,0
11,5,2,0,0
11,5,3,0,0
11,5,4,0,0
11,5,5,0,0
11,5,6,0,0
11,5,7,0,0
11,5,8,0,0
11,5,9,30,2
11,5,10,67,3
11,5,11,99,4
11,5,12,115,4
11,5,13,128,4
11,5,14,91,4
11,5,15,42,2
11,5,16,21,1
11,5,17,39,2
11,5,18,53,3
11,5,19,69,3
11,5,20,68,3
11,5,21,27,4
11,5,22,0,0
11,5,23,0,0
11,6,0,0,0
11,6,1,0,0
11,6,2,0,0
11,6,3,0,0
11,6,4,0,0
11,6,5,0,0
11,6,6,0,0
11,6,7,0,0
11,6,8,0,0
11,6,9,0,0
11,6,10,0,0
11,6,11,0,0
11,6,12,0,0
11,6,13,0,0
11,6,14,0,0
11,6,15,0,0
11,6,16,0,0
11,6,17,0,0
11,6,18,0,0
11,6,19,0,0
11,6,20,0,0
11,6,21,0,0
11,6,22,0,0
11,6,23,0,0
11,0,0,0,0
11,0,1,0,0
11,0,2,0,0
11,0,3,0,0
11,0,4,0,0
11,0,5,0,0
