2022-12-29 00:00:57 | INFO | startup event.
2022-12-29 00:20:32 | INFO | shutdown event.
2022-12-29 00:20:48 | INFO | startup event.
2022-12-29 00:25:00 | INFO | shutdown event.
2022-12-29 00:25:10 | INFO | startup event.
2022-12-29 00:37:07 | INFO | shutdown event.
2022-12-29 00:37:17 | INFO | startup event.
2022-12-29 00:40:54 | INFO | shutdown event.
2022-12-29 00:41:06 | INFO | startup event.
2022-12-29 00:52:47 | INFO | shutdown event.
2022-12-29 15:35:49 | INFO | startup event.
2022-12-29 21:46:52 | INFO | shutdown event.
2022-12-29 21:48:05 | INFO | startup event.
2022-12-29 21:50:24 | INFO | shutdown event.
2022-12-29 21:50:40 | INFO | startup event.
2022-12-29 21:52:18 | INFO | shutdown event.
2022-12-29 21:53:41 | INFO | startup event.
2022-12-30 00:00:07 | INFO | shutdown event.
