,ts,visitors
95401,2015-01-02 10:00:00,10.0
126823,2015-01-02 10:15:00,1.0
95402,2015-01-02 10:15:00,7.0
126824,2015-01-02 10:30:00,10.0
29565,2015-01-02 10:45:00,14.0
126825,2015-01-02 10:45:00,13.0
126826,2015-01-02 11:00:00,8.0
29566,2015-01-02 11:00:00,1.0
126827,2015-01-02 11:15:00,10.0
29567,2015-01-02 11:30:00,10.0
126828,2015-01-02 11:30:00,14.0
29568,2015-01-02 11:45:00,12.0
126829,2015-01-02 11:45:00,11.0
29569,2015-01-02 12:00:00,11.0
126830,2015-01-02 12:00:00,9.0
126831,2015-01-02 12:15:00,14.0
126832,2015-01-02 12:30:00,16.0
95403,2015-01-02 12:30:00,13.0
29572,2015-01-02 12:45:00,17.0
126833,2015-01-02 12:45:00,13.0
95404,2015-01-02 12:45:00,2.0
126834,2015-01-02 13:00:00,11.0
95405,2015-01-02 13:00:00,13.0
29573,2015-01-02 13:00:00,13.0
95406,2015-01-02 13:15:00,6.0
126835,2015-01-02 13:15:00,14.0
95407,2015-01-02 13:30:00,2.0
29575,2015-01-02 13:30:00,19.0
126836,2015-01-02 13:30:00,16.0
29576,2015-01-02 13:45:00,14.0
126837,2015-01-02 13:45:00,11.0
95408,2015-01-02 13:45:00,9.0
95409,2015-01-02 14:00:00,4.0
29577,2015-01-02 14:00:00,3.0
126838,2015-01-02 14:00:00,18.0
95410,2015-01-02 14:15:00,12.0
126839,2015-01-02 14:15:00,8.0
95411,2015-01-02 14:30:00,15.0
29578,2015-01-02 14:30:00,5.0
126840,2015-01-02 14:30:00,1.0
126841,2015-01-02 14:45:00,9.0
95412,2015-01-02 14:45:00,3.0
126842,2015-01-02 15:00:00,7.0
126843,2015-01-02 15:15:00,12.0
126844,2015-01-02 15:30:00,10.0
126845,2015-01-02 15:45:00,7.0
126846,2015-01-02 16:00:00,6.0
126847,2015-01-02 16:15:00,7.0
126848,2015-01-02 16:30:00,8.0
126849,2015-01-02 16:45:00,8.0
126850,2015-01-02 17:00:00,3.0
29586,2015-01-02 17:00:00,7.0
126851,2015-01-02 17:15:00,8.0
126852,2015-01-02 17:30:00,7.0
29589,2015-01-02 17:45:00,4.0
95413,2015-01-02 17:45:00,2.0
126853,2015-01-02 17:45:00,7.0
126854,2015-01-02 18:00:00,8.0
126855,2015-01-02 18:15:00,6.0
126856,2015-01-02 18:30:00,15.0
29593,2015-01-02 18:45:00,12.0
126857,2015-01-02 18:45:00,10.0
95414,2015-01-02 19:00:00,3.0
126858,2015-01-02 19:00:00,10.0
95415,2015-01-02 19:15:00,4.0
126859,2015-01-02 19:15:00,10.0
126860,2015-01-02 19:30:00,16.0
29597,2015-01-02 19:45:00,8.0
95416,2015-01-02 19:45:00,2.0
126861,2015-01-02 19:45:00,12.0
126862,2015-01-02 20:00:00,14.0
126863,2015-01-02 20:15:00,7.0
95417,2015-01-02 20:15:00,10.0
29600,2015-01-02 20:30:00,4.0
126864,2015-01-02 20:30:00,7.0
126865,2015-01-02 20:45:00,8.0
95418,2015-01-02 20:45:00,1.0
29601,2015-01-02 20:45:00,12.0
95419,2015-01-02 21:00:00,3.0
126866,2015-01-02 21:00:00,10.0
126867,2015-01-02 21:15:00,8.0
126868,2015-01-02 21:30:00,8.0
95425,2015-01-03 10:00:00,10.0
126869,2015-01-03 10:15:00,1.0
95426,2015-01-03 10:15:00,12.0
126870,2015-01-03 10:30:00,12.0
126871,2015-01-03 10:45:00,12.0
126872,2015-01-03 11:00:00,10.0
95427,2015-01-03 11:00:00,1.0
95428,2015-01-03 11:15:00,1.0
126873,2015-01-03 11:15:00,14.0
29615,2015-01-03 11:15:00,16.0
126874,2015-01-03 11:30:00,9.0
126875,2015-01-03 11:45:00,10.0
29617,2015-01-03 11:45:00,14.0
95429,2015-01-03 11:45:00,3.0
126876,2015-01-03 12:00:00,10.0
29618,2015-01-03 12:00:00,7.0
95430,2015-01-03 12:00:00,4.0
95431,2015-01-03 12:15:00,3.0
126877,2015-01-03 12:15:00,16.0
95432,2015-01-03 12:30:00,13.0
126878,2015-01-03 12:30:00,10.0
29621,2015-01-03 12:45:00,15.0
126879,2015-01-03 12:45:00,10.0
95433,2015-01-03 12:45:00,7.0
95434,2015-01-03 13:00:00,4.0
29622,2015-01-03 13:00:00,10.0
126880,2015-01-03 13:00:00,14.0
126881,2015-01-03 13:15:00,11.0
29623,2015-01-03 13:15:00,10.0
95435,2015-01-03 13:15:00,6.0
95436,2015-01-03 13:30:00,7.0
29624,2015-01-03 13:30:00,16.0
126882,2015-01-03 13:30:00,20.0
95437,2015-01-03 13:45:00,2.0
29625,2015-01-03 13:45:00,11.0
126883,2015-01-03 13:45:00,13.0
29626,2015-01-03 14:00:00,1.0
126884,2015-01-03 14:00:00,12.0
95438,2015-01-03 14:00:00,12.0
126885,2015-01-03 14:15:00,4.0
95439,2015-01-03 14:15:00,11.0
126886,2015-01-03 14:30:00,18.0
95440,2015-01-03 14:30:00,5.0
29627,2015-01-03 14:30:00,1.0
