,ds,y
29562,2015-01-02 10:00:00,13.0
29563,2015-01-02 10:15:00,7.0
29564,2015-01-02 10:30:00,6.0
0,2015-01-02 10:45:00,1.0
1,2015-01-02 11:00:00,14.0
2,2015-01-02 11:15:00,13.0
3,2015-01-02 11:30:00,1.0
4,2015-01-02 11:45:00,6.0
5,2015-01-02 12:00:00,1.0
29570,2015-01-02 12:15:00,13.0
29571,2015-01-02 12:30:00,13.0
6,2015-01-02 12:45:00,5.0
7,2015-01-02 13:00:00,8.0
29574,2015-01-02 13:15:00,16.0
8,2015-01-02 13:30:00,1.0
9,2015-01-02 13:45:00,9.0
10,2015-01-02 14:00:00,10.0
11,2015-01-02 14:15:00,14.0
12,2015-01-02 14:30:00,9.0
29579,2015-01-02 14:45:00,12.0
29580,2015-01-02 15:00:00,13.0
29581,2015-01-02 15:15:00,12.0
29582,2015-01-02 15:30:00,8.0
29583,2015-01-02 15:45:00,3.0
29584,2015-01-02 16:00:00,11.0
29585,2015-01-02 16:15:00,3.0
13,2015-01-02 16:30:00,7.0
14,2015-01-02 16:45:00,11.0
15,2015-01-02 17:00:00,3.0
29587,2015-01-02 17:15:00,4.0
29588,2015-01-02 17:30:00,11.0
16,2015-01-02 17:45:00,8.0
29590,2015-01-02 18:00:00,10.0
29591,2015-01-02 18:15:00,6.0
29592,2015-01-02 18:30:00,13.0
17,2015-01-02 18:45:00,3.0
29594,2015-01-02 19:00:00,9.0
29595,2015-01-02 19:15:00,12.0
29596,2015-01-02 19:30:00,13.0
18,2015-01-02 19:45:00,1.0
29598,2015-01-02 20:00:00,7.0
29599,2015-01-02 20:15:00,13.0
19,2015-01-02 20:30:00,7.0
20,2015-01-02 20:45:00,5.0
29602,2015-01-02 21:00:00,12.0
29603,2015-01-02 21:15:00,14.0
29604,2015-01-02 21:30:00,1.0
29610,2015-01-03 10:00:00,11.0
29611,2015-01-03 10:15:00,6.0
29612,2015-01-03 10:30:00,8.0
29613,2015-01-03 10:45:00,12.0
29614,2015-01-03 11:00:00,14.0
21,2015-01-03 11:15:00,1.0
29616,2015-01-03 11:30:00,16.0
22,2015-01-03 11:45:00,10.0
23,2015-01-03 12:00:00,4.0
29619,2015-01-03 12:15:00,10.0
29620,2015-01-03 12:30:00,21.0
24,2015-01-03 12:45:00,5.0
25,2015-01-03 13:00:00,18.0
26,2015-01-03 13:15:00,16.0
27,2015-01-03 13:30:00,8.0
28,2015-01-03 13:45:00,8.0
29,2015-01-03 14:00:00,22.0
30,2015-01-03 14:15:00,20.0
31,2015-01-03 14:30:00,5.0
29628,2015-01-03 14:45:00,10.0
29629,2015-01-03 15:00:00,13.0
29630,2015-01-03 15:15:00,12.0
29631,2015-01-03 15:30:00,6.0
29632,2015-01-03 15:45:00,8.0
29633,2015-01-03 16:00:00,4.0
29634,2015-01-03 16:15:00,7.0
32,2015-01-03 16:30:00,2.0
33,2015-01-03 16:45:00,3.0
34,2015-01-03 17:00:00,12.0
35,2015-01-03 17:15:00,2.0
29637,2015-01-03 17:30:00,7.0
29638,2015-01-03 17:45:00,11.0
29639,2015-01-03 18:00:00,7.0
29640,2015-01-03 18:15:00,8.0
29641,2015-01-03 18:30:00,12.0
29642,2015-01-03 18:45:00,8.0
29643,2015-01-03 19:00:00,8.0
29644,2015-01-03 19:15:00,12.0
29645,2015-01-03 19:30:00,10.0
29646,2015-01-03 19:45:00,19.0
36,2015-01-03 20:00:00,5.0
29648,2015-01-03 20:15:00,12.0
37,2015-01-03 20:30:00,10.0
29650,2015-01-03 20:45:00,14.0
29651,2015-01-03 21:00:00,13.0
29652,2015-01-03 21:15:00,15.0
29653,2015-01-03 21:30:00,3.0
